number,title,writer,ip,date_dict
설문,한번 전화하면 안 끊을 것 같은 수다왕 스타는?,None,None,{'class': ['gall_date']}
공지,무지성 비방은 글삭 및 30일 차단,주딱,None,"{'class': ['gall_date'], 'title': '2021-04-29 23:44:11'}"
공지,꼭 읽어주세요. ENFP 엔프피 갤러리 통합공지,주딱,None,"{'class': ['gall_date'], 'title': '2020-10-02 01:15:37'}"
공지,ENFP갤에 고민상담 하러 오신 타유형 분들께,ㅇㅇ,(175.223),"{'class': ['gall_date'], 'title': '2020-10-04 20:38:13'}"
공지,문제상황 생기면 이 글에 댓글 달아주세요.,주딱,None,"{'class': ['gall_date'], 'title': '2020-10-02 01:17:17'}"
10573,엔프피남 나 별로 안 좋아하는거야? ,ㅇㅇ,(1.250),"{'class': ['gall_date'], 'title': '2021-07-23 20:47:27'}"
10572,나 샤워할건데,ㅇㅇ,(119.67),"{'class': ['gall_date'], 'title': '2021-07-23 20:47:09'}"
10571,나랑 같이 걸을래 진짜 노래 너무 싫은데 듣게됨,ㅇㅇ,(106.101),"{'class': ['gall_date'], 'title': '2021-07-23 19:21:20'}"
10570,인팁) 엔프피 짝사랑중인데,ㅇㅇ,(221.139),"{'class': ['gall_date'], 'title': '2021-07-23 19:10:36'}"
10568,엔프피 친누나를 둔 동생시점에서본 엔프피 특징,ㅇㅇ,(1.242),"{'class': ['gall_date'], 'title': '2021-07-23 17:40:44'}"
10565,enfp녀랑 사겼는데 너무 힘들었음 ㅜㅜ,ㅇㅇ,(59.17),"{'class': ['gall_date'], 'title': '2021-07-23 14:41:54'}"
10564,엔프피가 진짜 찐친이라고 생각하면,ㅇㅇ,(122.35),"{'class': ['gall_date'], 'title': '2021-07-23 11:45:53'}"
10563,이거 enfp맞아? 완전 반반이야,으앙,(125.186),"{'class': ['gall_date'], 'title': '2021-07-23 11:02:56'}"
10562,정말 고마운 사람이 있다면,ㅇㅇ,(182.230),"{'class': ['gall_date'], 'title': '2021-07-23 10:55:16'}"
10561,엔프피남 감동할 만 한거 뭐 없을까,ㅇㅇ,(59.2),"{'class': ['gall_date'], 'title': '2021-07-23 10:51:27'}"
10559,enfp인 여자애가 나한테 관심있는지 어떻게 알어?,올해 20살,(59.6),"{'class': ['gall_date'], 'title': '2021-07-23 03:31:24'}"
10557,에타에 올라온 엔픞 공략법,ㅇㅇ,(175.122),"{'class': ['gall_date'], 'title': '2021-07-23 02:38:48'}"
10556,ISTJ인데 ,ㅇㅇ,(124.50),"{'class': ['gall_date'], 'title': '2021-07-23 01:36:26'}"
10554,제발제발ㄹ 이런 엔프피 있어????????,ㅇㅇ,(121.134),"{'class': ['gall_date'], 'title': '2021-07-23 01:10:40'}"
10553,엔프피는 어떻게 잘 치대냐,ㅇㅇ,(106.102),"{'class': ['gall_date'], 'title': '2021-07-23 00:09:02'}"
10552,엔프피남 짝사랑 힘드러 ㅠ,ㅇㅇ,(211.36),"{'class': ['gall_date'], 'title': '2021-07-23 00:05:17'}"
10551,인팁녀가 사랑한 엔프피들의 특징을 알아보자 ,ㅇㅇ,(175.120),"{'class': ['gall_date'], 'title': '2021-07-22 23:27:56'}"
10550,엔프피들아 너네는 곰인 거 같애 아님 여우인 거 같애?,infj,(221.138),"{'class': ['gall_date'], 'title': '2021-07-22 21:58:43'}"
10549,나만이럼?,칼,(182.212),"{'class': ['gall_date'], 'title': '2021-07-22 21:57:31'}"
10548,난 본투비 엔프핀가봐,붕,(223.39),"{'class': ['gall_date'], 'title': '2021-07-22 21:39:08'}"
10547,엔프피남이랑 사귀는 중인데 고민이있삼,엔팁,(106.244),"{'class': ['gall_date'], 'title': '2021-07-22 21:38:45'}"
10546,요즘 이랬다 저랬다 하길래,칠성사이다ts,None,"{'class': ['gall_date'], 'title': '2021-07-22 19:52:42'}"
10545,요즘 이랬다 저랬다 하길래,칠성사이다ts,None,"{'class': ['gall_date'], 'title': '2021-07-22 19:52:28'}"
10544,난 죽으면 장례식장에 미러볼달꺼임,미르토,None,"{'class': ['gall_date'], 'title': '2021-07-22 19:45:07'}"
10543,엔프피 오늘 친구랑 손절함,ㅇㅇ,None,"{'class': ['gall_date'], 'title': '2021-07-22 19:42:27'}"
10541,인프피남인데,ㅇㅇ,(119.194),"{'class': ['gall_date'], 'title': '2021-07-22 15:43:32'}"
10540,enfp여자한테 먼저 연락오면,ㅇㅇ,(119.194),"{'class': ['gall_date'], 'title': '2021-07-22 14:14:40'}"
10539,가끔 ESFP친구 부러움,ㅇㅇ,(218.51),"{'class': ['gall_date'], 'title': '2021-07-22 11:54:06'}"
10538,여행계획짜는데 infp친구 발암이야,냐이,(223.62),"{'class': ['gall_date'], 'title': '2021-07-22 10:39:14'}"
10537,엥뿌삐들앙 자취하는거 어땡?,ㅇㅇ,(183.107),"{'class': ['gall_date'], 'title': '2021-07-22 09:50:30'}"
10536,엥뿌삐들아,ㅇㅇ,(110.14),"{'class': ['gall_date'], 'title': '2021-07-22 08:19:06'}"
10535,엔프피 본인 행복사할때 언제냐면,ㅇㅇ,(211.59),"{'class': ['gall_date'], 'title': '2021-07-22 07:09:19'}"
10534,너무 잘해주는건 어캐고쳐야하냐,ㅇㅇ,(223.33),"{'class': ['gall_date'], 'title': '2021-07-22 04:19:43'}"
10533,엔프피랑 연애하는데 자존감이 낮아서 힘들어..,ㅇㅇ,(59.2),"{'class': ['gall_date'], 'title': '2021-07-22 03:42:36'}"
10532,난 바보야,ㅇㅇ,(118.222),"{'class': ['gall_date'], 'title': '2021-07-22 03:15:32'}"
10531,엔프피남자 짝사랑하면 그냥 기다려야하는거지?,ㅇㅇ,(1.245),"{'class': ['gall_date'], 'title': '2021-07-22 03:12:59'}"
10530,친구가 동굴에 들어갔는데,ㅇㅇ,(182.211),"{'class': ['gall_date'], 'title': '2021-07-22 01:37:31'}"
10529,먼저 사과하고 화해하자고 하는게 나을까..??,ㅇㅇ,(14.47),"{'class': ['gall_date'], 'title': '2021-07-22 01:31:33'}"
10528,엔프피남이랑 사귄지 3일째인데,ㅇㅇ,(59.2),"{'class': ['gall_date'], 'title': '2021-07-22 01:10:18'}"
