number,content
설문,
공지,
공지,
공지,
공지,
10573,"
사귄지는 일주일정도 됐는데내가 연애가 처음이라 이게 속상해두 되는건지 아닌지 잘 모르겠어일단 내가 서운한걸 적어보면1. 방학인데 부모님이 원하셔서 평일에 타지에 있어야 된데근데 나는 주말에 알바를 하고.. 그래서 제대로 된 데이트를 못해->내가 이거에 대해서 아쉽다고 말하니깐 그때서야 이게 아쉬운거구나 생각한 것 같아2. 카톡 답이 나도 느리긴 한데 그 친구도 칼답은 안해3. 내가 아직 어색해서 말을 잘 안하고 있고든..근데 이 친구도 먼저 말을 잘 안해 근데 걔는 내가 안 어색하데->그니깐 말을 먼저 할 수 있으면서 괜히 안하는 느낌이야4. 내가 질투하면 엄청 좋아해 그런데 계속 속상해하면 표정 굳어져서 무서워 벌써 내가 질린걸까?ㅠㅠㅠㅠㅠ "
10572,"
상상 ㄴ  "
10571,"
전남친이랑 같이 듣던 노래에 첫 데이트 날 걔가 인스타 스토리에 이거 올리고 보내줌 좋았는데 진짜 왜 나 버리고갔어  "
10570,"
대체 뭐 어케해야됨?- dc official App "
10568,"
1.말이 있을때랑 없을때 차이가 크다2.놀때 조금이라도 자신하고 친하다면 그 사람들 다끌고와서 놀려하고불러온 사람들이 서로 모르는상대여도 상관을 안쓴다3.가끔 아니 생각보다 자주 밥을 잘못먹었나라는 생각이 들정도로 특이한 행동을 할때가 많다ex-내옆에서 헤헤헤 거리면서 웃는다든가 노래부르면서 춤춘다거나4.뜬금없이 뭐하자 뭐먹자라는 제안을 자주한다5.뭐하나에 삘 꽂히면 꼭 그걸해야 직성이 풀린다6.감정이 다 드러난다7.자기한테 맛있었거나 좋게 느껴졌던걸 남한테 직접주거나 알려주는걸 좋아한다8.어떤 집단을 가도 그안에서 친해지는 사람이 꼭 있다9.물건같은걸 자주 잃어버린다당연히 대부분 내가 찾아준다10.인생을 즐기면서 살려한다 욜로족이다11.관심을 주는거 받는거 둘다 좋아하고 즐겨한다12.귀여운거 감성있는거를 좋아한다13.집돌이 기질이 은근있다14.결정을 잘 못해서 남한테 픽해달라고 한다특히 뭐만하면 자꾸 날불러서 뭐가 낫냐고 물어본다주로 오늘 뭐입고 나갈까나 사진 여러개 보여주고 어느걸 인스타에 올릴까 같은거사소한거도 자주 물어본다그리고 동생을 자주 부려먹는다대충 이정도 있는거같고 참고로 저는 인프제-인티제 반반정도 나오고 F에 좀더 가까운 케이스입니다 "
10565,"
첫 연애였는데 걔 때문에 트라우마도 생김 .... "
10564,"
어떤 행동들을 해? 엔프피 친구가 있는데 얘가 친구가 많아서 내가 찐친인지 아닌지 모르곘어  "
10563,"
ㅋㅋㅋㅋ 자기주장형 먼데 49;51 이거 엔프피라 할수 있나? "
10562,"
좋아하던 애가 불건강한 나를 자신의 의지는 아니지만 나를 건강한 가치관을 가진 사람으로 바꿔준 것 같아.정말 고마워. 덕분에 행복하게 지내는 것 같아. "
10561,"
여자친구가 이랬을때 감동했다 이런거 있어?? "
10559,"
연락 카톡 기준으로 했을때 "
10557,"
맞는거 같아?  - dc official App "
