number,content
9629,"
ㅁㅈ ㅇ ㅇㄹㄴ 이게 뭘까????  - dc official App "
9627,"
화를 내면 내 자신한테 지는 기분이라 참는데화병 날 것 같음.참아도 행동으로 눈에 보인데요. (저 친구 화났는데 참고있구나)요런식인터넷에 찾아보고 따라해도 결국 스트레스 이빠이 받고 끝나요.엔픞들은 어떻게 화를 다스리면 풀어지는지 듣고 참고해보고싶어요. "
9625,"
예쁜말이라던지.. 마음에 없으면 여지주는 말 안한다던지 그런 편?  "
9624,"
사귀는 사이 아니고 호감만 있는 사이임담주 만나기로 했는데 제대로 만난지 하루만에 모텔가고싶다 고계속 생각하고있음- dc official App "
9623,"
난 인팁 얜 엔프피 연락 안해도 꾸준히 찾아옴 진짜 꾸준히 근데 정작 먼저 만나자곤 안함 9개월동안 단둘이 단 한번봄 그냥 좋은 친구정도겠지? 9개월동안 연락하면서 초반엔 헷갈렸는데 시간 지나니 이게 맞는듯 싶어서 그냥 이렇게 생각하는중 티키타카는 잘되는듯 싶어서 잼는데말야  "
9622,"
다 적어주라 하나부터 열까지  "
9621,"
스무살 여자애 enfp 생일선물 추천좀 해줘내 센스를 믿어보겠대 ;;ㅔ "
9618,"
눈치 없으면 사려야 하는데눈치없는 enfp는 빠질 상황인데도 자꾸 나서니까적이 많이 생기는듯.하여간 enfp는 눈치가 빠르고 봐야함 아니면 INxx보다도 갑분싸임 "
9617,"
성원에 감사합니다https://gall.dcinside.com/m/entp/168803 "
9616,"
1. 진로 일단 지금 예술계열 대학원 석사과정중인 enfp인데 짤 보시다시피 좀 극단적임 뭔가 다른 엔프피처럼 오만가지 다 관심가지다가 쉽게 질렸는데 내 전공은 고등학교때부터 공부하는데 1도 안질리고 매일이 새로움 근데 창작물 만드는건 진짜 개꿀잼인데 보고서 쓰는게 지옥임 머릿속에는 뭔가 가득차있는데 정리가 안됨 맨날 교수님이 작업물은 그만 가져오고 제발 정리좀 하라함 하..그래서 내년에 논문 쓸 때 지옥예상임 아 그리고 대학원 온 이유는 척척석사가 간지나서옴2.일 대학원 학비가 오지게 비싸서 일이랑 병행하고있는데 전공관련 학원에서 강사로 일함 강사가 진짜 적성이 맞는거같은게내가 능동적으로 시간 조절할수있음 내 수업만 펑크안내면됨마지막으로 조잘조잘 계속 말할수있으니까 적성 개잘맞음 종종 학생은 하기싫어하는데 부모님이 억지로 시켜서 오는애들이 있는데 그러면 같이 수다떨면서 놈원장님도 프리해서 수업만 잘 진행하면 별말안함ㅋㅋ개꿀3. 인간관계친구(아는사람)은 개많은데 진짜 내가 친하다고 생각하는 친구는 5명도안됨약속잡는거 개좋아함 약속시간 2시간전에 말해도 나감그렇다고 하루에 두세탕뛰는건아님4. 여행 역마살이 제대로 꼈는지 쉬는날 하루종일 집에있는날 손에 꼽음 코로나 이전에 휴학하고 1년동안 세계여행다녔음 여행다닐때 내가 극E인거 깨달았음 걍 심심하면 지나가는 한국인보고 같이놀자고함요즘 여행 못가서 진짜 죽을꺼같아5. 연애 내가 좋아해야하고 나 좋다그러면 음....음..고마워ㅎㅎ그리고 여자친구한테 돈 시간 하나도 안아까움구여친은 여행가서 만났는데 그친구가 먼저 한국으로 돌아가고 나는 더 오래 여행할 예정이였는데 그냥 어느날 여자친구 보고싶어서 바로 다음날 한국감 근데 헤어진 이유가 유럽여행 가고싶어서 헤어짐 내가봐도 쓰레기같음또 다른 구여친은 한국인인데 일본으로 교환학생으로 갔음 그래서 나도 학기중인데 3주에 한번씩 일본감 근데 후회는 안함끝- dc official App "
9615,"
사회생활하다보니 느낀건데 특히 난 사소한거 지적할때가 제일싫어ㅔ "
9614,"
내 말 하는거 좋아하는데 눈치가 없음 말 자체가 노잼인건 아닌데.. 말 할때 안 할때를 못가림 눈치 키우고 싶다 인간관계만이 정답인것같은데 얘기할 친구가 없음 고3이라 지금은 뭐 못하고 수능 끝나고 헬스랑 알바랑 할거 알아보고 있는데 이걸로 나아졌으면 좋겠다 과외알바도 말투 눈치 교정 되겠지?  "
9613,"
좋아하는 여자가 있다이 글을 공감할지는 모르겠다금방 사랑에 빠진다분명 지금 좋아하는 사람도 잘 안되면 몇주? 몇달뒤엔 바뀔걸 알고 있다우선순위 1순위는 그 여자가 되어버리고 “나”는 바로 후순위로 밀려나버린다좋아하는 여자가 전화하자하면 내가 지금 무슨일을 하고 있든 전화를 하게 되고답장 상태에 따라서 내 기분이 좌지우지 된다밀당이 중요하다는데, 밀어버리면 그대로 가버릴 것 같아서(그렇다고 스킬이 있는것도 아니다) 죽어라 당기기만 한다그러다가 잘 안되면 마음이 너무 아픈거지그런데 답답한게 마음이 아픈 이유가 명확하지 않다내가 못난건가? 내가 그렇게 병신같은 사람인가? 하면서 자책을 한다왜 그 사람이 날 싫어하는데 나조차 날 싫어하는건가?이게 얼마나 병신같은지 알면서 자책은 멈추지 않는다누군가를 좋아할때 기분의 업다운이 너무 너무 심하다 잘 안될때는 고통스럽고 잘 될때는 세상 부러운게 없다그래서 그 사람 말고는 안보인다이런 성격에 좋아하는 사람이 날 좋아하게 만들려면어느 상황이건 우선순위를 나를 만듦으로써 그 사람에게 쉬운 사람이 되지 않는 방법 밖에 없는겁니까?- dc official App "
9612,"
200퍼센트로 확실함 쓰레기 엔픞남  "
9611,"
낼 첨 보는 학교 선배랑 밥 먹기로 했는데 존나 무섭다 나도 엔프피면 이런거 좋아할텐데- dc official App "
9610,"
다른건 따라해도 계획하고 사는거는 안되더라애초에 계획이 필요하단 생각이 안드는걸!세상에 변수가 얼마나 많은데..근데 톡할 때 tmi를 줄였더니안읽씹 안하고 바로바로 칼답하는데도나랑 연락하는 사람이 좀 줄고있다...?너무 칼답하니까 부담스럽나? "
9609,"
쁘삐인지 뽀삐인지 왔어요  "
9607,"
굳이 날왜버렷어? 시발놈아- dc official App "
9605,"
대체로 인싸들인데막상 친해지면 잘삐짐ㅋㅋ "
9604,"
엔프피는 이것저것 잘함 뭐든지 중박은 침. 대신에 하나를 엄청 잘하진 못함반대로 인프피는 이것저것 못함 뭐든지 못함. 가끔 잭팟터진 애들은 하나를 엄청 잘 함.또 엔프피는 주변 사람들에게 의지를 많이함 그래서 주변 사람들의 말을 듣고 행동함인프피는 항상 본인이 결정하려고함 그런데 책임지긴 싫어서 결국 울며 겨자먹기로 남이 하라는대로 함 "
9603,"
두번째는 기억안나는데 번호는있음 다시사귀라면No세번째는 환승연애당하고 번호는없음 다시 사귀라면 좀 생각해봄그충격으로7년째연애안함- dc official App "
9601,"
- dc official App "
설문,
9600,"
내가 존경할수있는 남자? 가 좋아1. 배울 점 있고 2. 자기관리 잘하고 3. 자기 분야에서 일 잘 해야되고4. 똑똑한자존감 높고 자신감 넘치고 외강내강인 사람 보면 그냥 사랑에 빠져버림 게으른 나를 자극시켜서 열심히 살게 만드는 열심히 사는 남자가 내 이상형임 아 그리고 찌질한 남자 너무 싫어..ㅜㅜ 많이 쓰는 남자도 싫어.. "
9599,"
보통 야갤 수갤같은 남초 갤러리는노무현 사진 올라오면 개추폭탄 받는데여긴 비추가 더 많네  "
9598,"
잘 맞는다 생각해??난 엔프핀데 엔프제 너무 좋아 ... "
9597,"
못생겻다는 뉘앙스의말 들으면 가망없지?나도 가망없는거 아는데 확인사살 들으러왔다- dc official App "
9595,"
오해ㄴㄴ엔픕좋아함근데 그중 최악을적어봄엔번방회원처럼 변태기질있음머리굴리며 상대방 봐가면서 행동함좋아하면 자격지심 심해지고 집착하는주제에 다른가능성도(다른여자) 열어놓음내로남불심함사랑이란 이름으로 자기행동합리화하고 난동부리고 상대방에게 너때문에 내가이렇게됬단식임사랑에빠진 스스로에게취해있음자기행동,잘못생각안하고 타인배려없이 자기감정 우선임여자 ㅈㄴ좋아함 .여친없으면불안해함여자랑 입터는거잘하는데 남사친인척 접근하지만  사실은 속으로 음흉한생각하고 모든 여자를 이성으로 생각함그런 주제에 자기가젤 좋아하는 여자 붙잡고 늘어짐엄청 예민하고 불안정함.그외 정상적엔프피는 ㅈㄴ좋다  "
9594,"
몇달에서 몇년가더라….- dc official App "
9593,"
물론 질문했을 때엔 읽씹하면 기분 더러운 건 사실인데그냥 할말 없어서 읽씹한거면 딱히 신경 안씀오히려 안읽씹 한게 상황 더 애매하게 느껴지고 짜증나더라[본인 INFJ,INTJ 반반 나옴] "
9592,"
그상대방 잊는데 기간어느정도 걸려?여자가 매몰차게선긋고싫다는티 팍팍냈을때 "
9591,"
좋아하는애한테 존나 찌질한짓했다 시~~발나보고 찐따같다고했다 시~이발~!정 존나 떨어졌겠지~~ 끝났다~ 시이이발~!- dc official App "
9590,"
나도 남잔데 infj 아는 동생잇는데 너무 귀여움  나없인 죽고못사는 사람으로 만들고 싶어서 열심히 밀당중임  그냥 보통 아는사이 단계에서 지금은 걔가 맨날 선톡하는 상황으로 만들엇따 ㅋㅋ   "
9585,"
나 심심 "
9584,"
노무현 좋아함 ㅇㅇ- dc official App "
9583,"
난 나보다 톡 느린 남자사람은 첨 본다 ㅋㅋㅋ1일 1톡 ㅋㅋㅋ 그 마저도 존나 안봄ㅋㅋㅋㅋ "
9582,"
내 주변 엔프피들은 다 즐김  - dc official App "
9581,"
남자친구가 내일 거래처 가는 쪽에 결혼한 아는 누나 회사 있어서 같이 점심 먹기로 했다는데 어떨것같아 ? 스읍 나는 이성친구가 한명도 없어서 뭐지 싶은데 이거 맞는거야 오케이 잘먹어 ~~ 이래!?기분이 나쁜건지 아닌건지 조차 가늠이 안되는데.. 그냥 별루 인것 같긴하고.. 모지 .. "
9580,"
 이성적으로 관심도없는데 답장안하니까 좀 심기불편해  - dc official App "
