number,content
1778,"
한국어능력시험 성적임 "
185495,"
개요  약 2주간 친목이 과열되었다는 의견이 제시되어 금일 관리자들간 회의를 진행하였습니다.  아래는 회의 내용이며, 관리자 전원이 논의하여 작성되었음을 알립니다.  문제점  1. 친목 과열 문제  >> 온라인 역시 사람이 모이는 곳이므로 개개인에게 호감, 비호감을 가질 수는 있다.  >> 그러나 이것이 과열되었다고 판단하는 이유는, 특정 이용자를 호출하는 게시글이나 본문, 댓글로 SNS와 같은 대화가 이어지는 모습을 쉽게 볼 수 있기 때문이다.  >> 이 문제에 관하여 자각하지 못하고 있던 관리자들도 일부 동조하고 있었단 사실을 인정하며, 그런 이유로 후술할 조치에 대하여 소급 적용하지 않는다.  2. 과도한 밈 발생 문제  >> 1번의 문제 중 상당 부분을 차지하고 있는 문제.  >> 부매니저 사바나와 테레사는 적정 수준의 밈은 갤러리에 활력을 줄 수 있지만 정도가 과하여 신규 이용자에 대한 진입장벽을 만들 수 있다고 보았다.  3. 네임드화를 지향하는 몇몇 이용자에 대한 문제  >> 2번의 파생 문제.  >> 마치 재미없는 개그맨이 유행어 만들기에 전념하듯 자기 자신의 밈을 스스로 만들어 네임드화하려는 이용자들이 확인된다.  >> 또한 네임드화를 촉진하는 디시콘도 문제점으로 확인된다.  조치  ㅇ 호출성 제목 규제.  - 특정인을 호출하는 제목이라면 우회적 호명도 불가.  - ex) 제목 : 생선대가리 잠깐 와봐  ㅇ 게시글 내용 규제.  - 게시글 내용의 중심 테마가 특정 이용자인 경우 삭제될 수 있음.  ㅇ 자짤 규제.  - 자짤 안에 닉네임 표시 금지.  - 7/13 ~ 7/15 계도기간, 7/16부터 닉네임 자짤은 삭제.  - 자짤 외 이미지에도 닉네임 언급 금지.  ㅇ 외부컨텐츠 규제  - 허용 게임 : 텔레스트레이션 제외.  ㅇ 디시콘 규제  - 특정 이용자를 대상으로 한 디시콘 금지.   "
39722,"
[댓글은 확인 후 삭제합니다.]안녕하세요. 유레카입니다.『ENTP 갤러리는 타인의 권리를 침해하지 않는 범위 내에서 최대한의 자유를 보장하고 다양성을 존중한다.』『단, 지속적으로 갤러리의 활력을 저해시킬 소지가 있다고 판단되는 이용자에 한하여 자유가 제한될 수 있다.』『이러한 조치는 관리자 전체의 67% 이상이 동의하여야한다.』아래는 갤러리 관리 기준입니다.[ENTP 갤러리 내 관리 기준]* 하기 항목에 부합하는 경우 해당 게시글 삭제 및 최대 30일간 갤러리 접근이 차단됩니다.* 하기 항목에 정확하게 부합하지 않더라도 문제의 소지가 있다고 판단되는 경우 게시글이 삭제될 수 있습니다.① 호명 : 다른 이용자의 닉네임을 언급하는 제목의 게시글 또는 내용의 주제가 특정 이용자인 게시글.(update 21.07.21)예외) 일상적으로 쓰이는 단어 및 문장이 닉네임인 경우에 한하여 관리자가 별도로 게시글의 의도를 판단하여 조치할 수 있다.② 외부 컨텐츠 : 고유 대화 기능을 지원하는 공동참여성 외부컨텐츠(캐치마인드, 롤 등의 게임 및 커뮤니티성 컨텐츠 포함)가 포함된 게시글.예외) 고유 대화 기능을 지원하지 않는 공동참여성 외부컨텐츠는 일부 허용한다. 단, 관리자 검토 후 공지사항에 명시된 종목으로 제한한다.③ 신상 : 이용자 개인의 신상 정보가 포함된 게시글(공식 규정에 의거하여 처리)④ 사칭 : 특정 이용자와 혼동할 여지가 큰 닉네임의 사용조치) 경고 및 1일 정지 / 미수용시 30일 정지⑤ 도배 : 도배 관련 수칙을 삭제함. (update 21.07.21)예외) 악성 도배 이용자는 별도로 관리되며 예고 없이 삭제 및 차단될 수 있다.⑥ 사진 및 동영상1) 체액, 분비물, 내장, 신체의 절단면 등이 포함된 혐오 사진 및 동영상2) 유두 또는 음부, 항문이 직접 노출되거나 그렇지 않더라도 선정성이 과도하다고 판단되는 사진 및 동영상3) 갤러리 이용자를 포함하여 대중에 알려지지 않은 인물의 안면 전체 또는 일부가 드러난 사진 및 동영상4) 자동짤방(자짤) 내에 닉네임 표시를 제한한다.⑦ 범죄 관련★ 범죄와 관련한 게시물은 경고 없이 삭제 될 수 있습니다.⑧ 갤러리의 일반 정서와 맞지 않는 게시글1) 비추천이 8개 이상 누적된 게시물은 상기 수칙에 포함되지 않더라도 삭제될 수 있다.2) 단, 갤러리의 일반 정서에서 크게 벗어난 경우를 위한 특별 장치이며 반드시 삭제된다는 의미는 아니다.3) 내용의 중심 테마가 특정 이용자인 경우 삭제될 수 있다.⑨ 홍보 및 광고성 게시글목적) 갤러리의 활력 저하를 방지하기 위함.조치1) 홍보 및 광고성 게시글은 삭제하며 고의적 반복시 최대 30일까지 차단될 수 있다.조치2) 상습적인 경우 영구 차단 대상으로 지정하며, 동일인으로 확인된 계정들도 차단된다.⑩ 특정 이용자를 대상으로 제작된 디시콘목적) 과도한 네임드화, 밈 발생 방지를 위함.* 유동IP 차단의 경우 코드 8자리가 추가됩니다.인물사진 노출 기준이 변경되었습니다.(21' 3/13)[카테고리별 정의 및 운영 방침]① 카테고리 : 일반- 별도의 규정이 없으며 관리 수칙을 따른다.② 카테고리 : 꼭봐라 [관리자 조정]- 개념글 중 유익하거나 재미가 있다고 판단되는 게시글이 별도로 분류된다.- 관리자들의 주관에 따르므로 일관성이 없을 수 있으나 이는 문제삼지 아니한다.③ 카테고리 : 고찰- 이용자 개인의 사상, 견해를 작성한다.④ 카테고리 : 썰- 이용자 개인의 경험담을 작성한다.⑤ 카테고리 : 투기장 [관리자 조정]- 이용자 개인간의 다툼이 별도로 분류된다.- 다툼은 투기장으로 선정된 게시글 내에서 진행한다.- 투기장으로 선정된 게시글과 직간접적으로 관련이 있다고 판단되는 모든 게시글, 댓글은 이유 불문 삭제될 수 있다.⑥ 카테고리 : 챌린지- 이용자 개인의 다짐이나 계획을 작성한다.⑦ 카테고리 : 섹스 [관리자 조정]- 선정적인 내용의 경험담, 사상 또는 관리 수칙 및 디시인사이드 운영 방침에 위배되지 않는 사진을 게시한다.- 관리 수칙 외 '아동청소년의 성보호에 관한 법률 등'의 성 관련 법의 위반 소지가 있는 게시물은 삭제될 수 있다.⑧ 카테고리 : 보플- 음성녹음이 포함된 게시글을 작성한다.- 본문에 포함되지 않더라도 보이스리플이 있는 경우 임의로 조정될 수 있다.⑨ 카테고리 : 토론 [관리자 조정]- 카테고리 : 고찰의 게시글 중 토론의 성격을 띨 경우 관리자가 임의로 조정한다.⑩ 카테고리 : 주의 [관리자 조정]- 규정에 위반하지는 아니하나 불쾌감을 유발한다고 판단되는 게시글이 분류된다.- 비위가 약한 이용자 개인은 열람에 주의한다.일반을 제외한 카테고리의 글은 내용이 해당 카테고리와 관련성이 낮다고 판단될 경우 임의로 조정될 수 있다.여담여태 많은 커뮤니티가 흥망성쇠의 길을 걸어왔지만 사람들이 떠나 커뮤니티가 망하는 이유로, 과도한 친목이 항상 자리하고 있었습니다.친목질은 사람이 살아감에 있어 필수적인 요소지만, 익명성을 추구하는 디시인사이드의 성격과 맞지 않습니다.사람이기 이전에 동물이라면 누구든 특정 개인에게 보다 우호적 또는 적대적인 태도를 지닐 수 있습니다.개인의 태도 자체를 제재할 수는 없지만 친목이 과열되어 집단, 파벌을 형성하기 시작하면 스스로가 의식하지 않더라도 커뮤니티가 배타적 성격을 띠게 됩니다.이는 신규 사용자에게 커다란 진입 장벽으로 작용하게 되므로 이를 지양하여 모두가 즐거운 ENTP 갤러리를 만드는데 적극적으로 참여했으면 하는 바람이 있습니다.감사합니다.=========================================[마이너 갤러리 이용 안내]* 하기 게시물 삭제 기준에 부합하는 경우 해당 게시글 삭제 및 최대 30일간 갤러리 접근이 차단될 수 있습니다. "
78909,"
재미있게 본 썰이나 양질의 글을 보셨다면 링크를 달아주세요.검토 후 목록에 추가해드립니다.(내가 봤을때 재밌거나 유익해야 됨)새로 업데이트된 썰은 우측에 New를 표시해두었습니다.클릭 시 이동합니다.[공지사항][각종 심리 테스트 모음]==========================『ENTP-실시간 베스트』[난리난 국민은행 불륜] - 59.25 (21.06.11)[INFJ & ENTP 병맛만화] - 모순 (21.06.26)[모기새기 잡는법] - Jation (21.07.07)==========================『유레카 저』[엄마가 초등학교 담임 선생 꼬신 썰][게임방송 할 당시 회장을 잃은 썰] [5년 만난 엔팁 여자친구의 초월적인 성욕][21일간 경구피임약을 복용한 후기][생애 처음으로 형을 이겨본 썰][키스와 섹스의 감각적 느낌 for 아다][대학시절 동아리실에서 섹스하다 걸린 썰][현실에서 ENTP 여자를 보기 힘든 이유][필름 끊겨본 경험][엔팁에게 선톡보내고 안 씹히는 꿀팁][주딱 달고 처음 겪은 사건][타 유형이 엔팁갤에 자리잡게되는 과정][ENFP, ENTP.. 완장의 품격][고찰 : 유명인의 인성 논란은 당연한 것][6년 여자친구와의 마지막(1/2)][6년 여자친구와의 마지막(2/2) + 에필로그][해고당한 썰] New『저자 미상(유동)』[첫 키스 썰][전 인프제 여자친구랑 만나게 된 계기][전 인프제 여자친구랑 공포영화 본 썰][부모님의 신음소리로 딸친 썰][반려 고양이를 잃고 난 후 심경의 변화][임신할 뻔한 썰] New[짝사랑했던 6년지기 남사친이 커밍아웃한 썰] New[흙수저.. 2년간 고시원에서 산 썰] New[고찰 : 한국 사회는 도덕적 우월성의 시대][고찰 : 나이 대에 따른 경험이 중요한 이유][고찰 : 한국인의 특징][고찰 : 진짜 황족 ENTP]『이태양 저』[고딩때 편의점 갔던 썰][파트너 가슴으로 실험한 썰][1부 : 응애시절 ESFP랑 연애한 썰][2부 : 응애시절 ESFP랑 헤어진 썰][신음소리 안내는 여자랑 섹스한 썰] New『섹시가이민재 저』[롤만 하면 화가 많아지는 친구 썰][꼴보기 싫은 친구 썰][친구 구제한 썰][누나한테 '레후'를 써보았다][네이버지식인 때문에 아빠가 극대노한 썰]『해느앳초 저』[학원에서 겪은 전라도 친구 썰]『XNTX 저』[씹뽑뽑요][고찰 : 존칭 인플레이션에 대하여][고찰 : 성별간 대립은 황혼기의 단면][고찰 : 페미가 욕먹는 것은 시대적 흐름][고찰 : 부모-자식은 혈연으로 이어진게 전부는 아냐][고찰 : 페미니즘의 계파에 대하여][고찰 : 법과 도덕의 상관관계]『사람새끼아님 저』[전 여친이랑 보빔하다 남친에게 들킨 썰]『로스쿨로빤스런 저』[고찰 : 갤이 망하는 이유는 똥글 때문이 아님][엔팁갤의 역사 - 분위기편][여자친구가 상속전쟁 스파이였던 썰][여자친구랑 보드게임 카페에서...썰(1/3)] New[여자친구랑 보드게임 카페에서...썰(2/3)] New[여자친구랑 보드게임 카페에서...썰(3/3)] New『비창 저』[고찰 : 한국의 저출산 추이 및 분석][고찰 : 엔팁과 인프피가 상극인 이유][고찰 : 여초커뮤가 골 빈 것처럼 보이는 이유][고찰 : 완장 재량에 대하여][고찰 : 나이 차이 많이나도 괜찮다는 의미][고찰 : 선의와 선행에 대하여][고찰 : 군대가 사람을 바꾸는가]『패션여우 저』[펌 : 성숙한 ENTP가 과거의 자신에게 하고 싶은 말]『알파7 저』[고찰 : 거부/회피에 대한 견해]『레몬카스테라 저』[고찰 : 떡밥의 경기순환론]『남방안경고추쇠물돼지 저』[고찰 : 갤러리 여초화에 대하여]『강한남자의맛 저』[술마시다 친구가 술병으로 머가리 맞은 썰] New『INTJ_ 저』[엣팁 씨발년 썰] New[엣팁 씨발년 썰 - 에필로그] New "
162216,"
갤러리 운영과 관련하여 건의사항이 있거나 신고 대상이 있는 경우본 게시물의 댓글로 작성해주시기 바랍니다.처리완료된 건의 및 신고 댓글은 삭제됩니다. "
67777,"
지금까지 했던 테스트들의 링크를 댓글에 모아놓았습니다. 새로운 테스트들의 링크 역시 이 글에 댓글로 달아주시면 됩니다.   "
95397,"
외부컨텐츠 규정에 따라 허용가능 ​컨텐츠 ​리스트를 따로 작성합니다 규정을 한번 읽어보시고 어 이건 되겠다 싶은 것들은 댓글로 링크 달아주신다면 관리자가 보고 괜찮다고 판단 시 아래 리스트에 추가됩니다 ​[외부컨텐츠 목록​ ​]​ 하이퍼링크↓1.루미큐브2.체스3.텔레스트레이션-이용법 "
135286,"
제재 사유에 대해 적는 공간 제재에 대해 불만이 있다면 여기서 항소를 받음항소 조건1.본인인증(사칭을 막기 위함)-본인 갤로그에 제재당한 본인 계정으로 항소할 [닉+아이디] 또는 [아이피] 를 기입2.제재일로부터 3일 이내※제재에 대한 항소는 여기서만 받음, 파생글 금지(투기장의 존재 이유와 같음)제재기간 내에 제재대상과 동일인이라고 판단시 제재될 수 있음 "
192588,"
존나 웃겼는데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  "
192587,"
키가 작아서 손이 잘 안 닿아...  - dc official App "
192586,"
살 접혀서 제2의 얼굴 있는 애 있는데  국어쌤이 최저시급 얘기하면서 너넨 대체 불가능한 사람이 되라 그러려면 공부 열심히 해야겠지? 이런 얘기 하다가  얼굴두개 돼지 힐끗 보고 넌 공부 진짜 열심히 해야겠다 시전ㅋㅋㅋㅋㅋ  학원 다들 안 친한데 한명도 빠짐없이 다 터짐  아 진짜 에반데 진짜   "
