number,content
191560,"
81해소꿉놀이 그만해라. "
191559,"
음료수 하나 살라고 계산 하기전에 지갑 꺼낼 손이 부족해서  겨드랑이에 음료수 껴서 지갑 꺼내는데 갑자기 물건 겨드랑이에 끼지 말아주실래요; 제가 진열할때 만져야하거든요; ㅇㅈㄹ 떠네 시발 뭔 진열이야 내가 사는데 사는걸 뺏어서 재진열 할꺼야?  - dc official App "
191558,
191556,"
좋겠다 집은 넘쳐나는데 그중에 내집은 없고 엄마가 너 나중에 커서 뭐해먹고살래라고 물어보면 개구리반찬이라고 대답하던때가 그립다  "
191555,"
너네 스타할때 치트키 쓰면 재밋더냐? 좀 하다 금방 질리지않냐?인생도 똑같음. 런닝자루 입고있어도 내캐릭터 키워나가는 맛에 게임하는거다. "
191554,"
실제 성향이 게임에도 어느정도 이어지는게 있어선지 종종 내 생각이 앞서나갈 때는 주변을 살피는걸 잊고 행동하는게 롤에서도 그렇거든 이게 라이너를 이해한게 아니여도 보통 다른 애들이였으면 라이너 보고 대충 낌새 이상하다 눈치챌법하고 하려던걸 접어야할텐데 막 나는 내가 각이라고 생각하면 앞뒤를 보는걸 아예 망각함 그래서 플레이가 혼자 따로 붕뜨더라뭣보다도 저런식으로 게임이 망가지면 멘탈적으로 타격이 좀 커서 그래서 내가 아예 라이너 자체를 진짜 ㅈㄴ 잘알아가지고 딱 저거 움직임만봐도 어떤건지 알겠다 되면 몰라도 정말 혹시라도 나중에 그게 되기 전까지는 걍 성장챔만 쓰는게 맞는듯 성장챔으론 탑레 플1 mmr 다이아 중간까지도 가봤는데 갱챔으로는 골드도 간당간당함 ㅇㅇ.. "
191553,"
수갤에선 아이비리그 인서울아니라고 취급안해주는데 왜 머리박았노  - dc official App "
191552,"
고찰은 자기 자신에게  죄짓는 것이다고 생각  고찰은 어떤것의 본질철학을 알아내는 것이잖음  결국 그건 사물의 종국점을 예정할 수밖에 없고 이는 비관적인 감정을 수반하기 마련임 인생, 인간관계의 끝 이후는 무엇인가, 노동으로 돈을 벌어 뭘하나, 외로움의 근원 등등  미시적인 순간의 감사함이나 만족감을 저해하는 행동같음 아이러니하게 나도 이런 글을 쓰고 있음  - dc official App "
191551,"
올리는 이유 한줄씩 써놓고 가라진짜 찐따같아서 이해가 안간다.  "
1778,"
한국어능력시험 성적임 "
