number,title,writer,ip,date_dict
1778,한번 전화하면 안 끊을 것 같은 수다왕 스타는?,None,None,{'class': ['gall_date']}
1509,호출기,Diamond,None,"{'class': ['gall_date'], 'title': '2021-07-15 13:48:49'}"
305,완장 호출기,ESFJ,None,"{'class': ['gall_date'], 'title': '2021-01-28 12:50:55'}"
1508,완장 음해성 게시글/댓글 작성 시 삭제조치됩니다.,Diamond,None,"{'class': ['gall_date'], 'title': '2021-07-15 09:52:47'}"
777,에이프런 관련 언급시 숙청쇼 해드립니다,ESFJ,None,"{'class': ['gall_date'], 'title': '2021-05-09 00:41:31'}"
304,ESFJ 마이너 갤러리 공지 (2021.01.28~),ESFJ,None,"{'class': ['gall_date'], 'title': '2021-01-28 12:49:35'}"
1556,그린라이트인지 좀봐줘ㅠesfj남들아..,ㅇㅇ,(124.49),"{'class': ['gall_date'], 'title': '2021-07-23 19:50:17'}"
1555,같은 esfj 보면 무슨 생각들어?,ㅇㅇ,(223.39),"{'class': ['gall_date'], 'title': '2021-07-23 18:49:52'}"
1554,Esfj 들은 자기가 소중하게 생각하는 지인이 불행해지면,ㅇㅇ,(223.39),"{'class': ['gall_date'], 'title': '2021-07-23 14:34:20'}"
1553,esfj들은 알까,Pia.,None,"{'class': ['gall_date'], 'title': '2021-07-23 13:20:20'}"
1552,타 mbti 유형갤들은 허구한날 쌈박질이나 하는데,진권파한준기,None,"{'class': ['gall_date'], 'title': '2021-07-23 11:52:02'}"
1551,엣프제 친구 옛날엔 몰랐는데 유형알고나니 뭔가 새롭다,진수성찬,None,"{'class': ['gall_date'], 'title': '2021-07-23 11:46:11'}"
1550,엣프제들 안녕,진권파한준기,None,"{'class': ['gall_date'], 'title': '2021-07-23 11:35:25'}"
1547,가식 부릴 때,ㅇㅇ,(118.235),"{'class': ['gall_date'], 'title': '2021-07-22 17:08:43'}"
1546,엣프제 형들 궁금해요,ㅇㅇ,(58.142),"{'class': ['gall_date'], 'title': '2021-07-22 03:19:42'}"
1545,은제나 닭살이 돋는 엣프제 말투들,ㅇㅇ,(222.233),"{'class': ['gall_date'], 'title': '2021-07-22 00:18:44'}"
1543,닉 바꿔따,에스프주아,None,"{'class': ['gall_date'], 'title': '2021-07-21 22:46:34'}"
1542,보아하니 여기 ESFJ들은 질문을 좋아하는구나,진권파한준기,None,"{'class': ['gall_date'], 'title': '2021-07-21 22:40:57'}"
