number,content
313,"
ㅇㅅㅇ  "
312,"
그대로 돌아가  "
311,"
https://youtu.be/5VebHstmpPw멀리서 널 보았을때
다른 길로 갈까 생각했는데 변한 듯한 널 보고 싶고
짧은 인사 할까 하는 마음에 두근대는 가슴으로 한 걸음씩 갈때
네 어깨 손 올리는 다른 어떤 사람 화가 난 내 얼굴은 미소로 바뀌고
두 사람은 내 옆을 지나갔지 둘이 되어버린 날 잊은것 같은 너의 모습에
하나일 때보다 난 외롭고 허전해 니가 가져간 나의 반쪽 때문인가
그래서 넌 둘이 될 수 있었던 거야 멀리서 널 보았을때
다른 길로 갈까 생각했는데 변한 듯한 널 보고 싶고
짧은 인사 할까 하는 마음에  두근대는 가슴으로 한 걸음씩 갈때
네 어깨 손 올리는 다른 어떤 사람 화가 난 내 얼굴은 미소로 바뀌고
두 사람은 내 옆을 지나갔지 지금 너에겐 변명처럼 들리겠지
널 보낸 후 항상 난 혼자였는데 두근대는 가슴으로 한 걸음씩 갈때
네 어깨 손 올리는 다른 어떤 사람 화가 난 내 얼굴은 미소로 바뀌고
두 사람은 내 옆을 지나갔지 둘이 되어버린 날 잊은것 같은 너의 모습에
하나일 때보다 난 외롭고 허전해 니가 가져간 나의 반쪽 때문인가
그래서 넌 둘이 될 수 있었던거야 둘이 되어버린 날 잊은것 같은 너의 모습에
하나일 때보다 난 외롭고 허전해 니가 가져간 나의 반쪽 때문인가
그래서 넌 둘이 될 수 있었던거야 "
310,"
ESFJ-T 2w3 SO/SP 217 BAACB주말답다 니가 그렇게 잘났어? 엣프제 갤로 따라와https://gall.dcinside.com/esfj "
309,"
음 난 여자구 남자 소개받아서 만났는데 궁예해봣을때 esfj 같앙내가 esfj 특징을 아는건 아니고외향일까 내향일까 이렇게 이분법적으로 나눴을 때 esfj 같아 ㅋㅋㅋㅋ만나서 분위기 괜찮았는데 생각해보면 나땜에 대화 끊긴적 많고 내가 갑자기 그만 일어나자고 함ㅠㅠ(tp라서 당시엔 몰랐어) 담에 다시 보기로 했는데 나이가 좀 있어서 그런지 일이 바빠서 그런지 그 이후로 연락을 하고 그런건 아님. 사실 난 전남친 못잊은 상태로 소개받은거라 크게 아쉽진 않아. 상대도 적극적이진 않아서 이별 극복 못한 상태인것 같다고 궁예중.. 인데 맞을까? ㅋㅋㅋ1) esfj는 이별 극복에 시간이 오래 걸리니? 어케잊어?2) 나 선톡하는거 자존심상해하는 스타일 아니고, 답답한거 못참아서 뭔가 행동하고 싶기도 한데 먼저 리드하는 여자 어때?  "
308,"
나눈 엣프제  "
307,"
 "
306,"
댓글 매우 친절하니 많이 써줘  "
303,"
나도 엣프제임! 그냥저냥 궁금해서.. 일반화 하는 거 아님 ㅡㅡ 너네 책 많이 읽어..?? 나도 그렇고 내 주변 엣프제들 책 가까이 안 하더라구.. 공부는 꽤 하더라도.. 그래서 책 좀 읽기로 함.. ㅎㅎ "
301,"
집 밖에서 일 과제 작업 할때는 한 없이 든든하고 꼼꼼한데  집에만 들어가면 애새끼 돼 버린다고 밖에서 만나면 든든한데 같이 자취하고 살면 암적인 존재래 ㅋㅋ 이럴때 보면 난 패션 엣프제인가 싶음   "
300,"
방가부어  "
299,"
엔프피 인티제랑 잘 안 맞는 것 같음밑에 인티제가 극대노 하는 글 보고 왔능데ㅋㅋ(저렇게 화를 푸는건 안 좋은 방식이라고 생각하지만)인티제랑 젤 안 맞는게 엣프제라는거 보면 맞는 것 같기도 하고유형으로 일반화 안 할래도 아무래도 유형별 특성이 좀 있다보니까ㅋㅋㅋㅋㅋ "
298,"
분탕치러 왔습니다  "
297,"
뭔가 단체로 자뻑 오짐우리 유형이 제일 좋은 성격이다 이러는 게 보이더라오글거릴 정도로 과하지만 않으면 괜찮게 느껴짐엣프제들은 자신감 높은 편임? "
295,"
조금뿐이지만  "
293,"
 "
291,"
ㅇㅇ "
290,"
여기가 중갤 다음가는 곳인가요?  "
