number,title,writer,ip,date_dict
설문,한번 전화하면 안 끊을 것 같은 수다왕 스타는?,None,None,{'class': ['gall_date']}
공지,공지,ESTP,None,"{'class': ['gall_date'], 'title': '2021-02-05 22:27:54'}"
3079,infj는 어떻게 생각함?,ㅇㅇ,(223.62),"{'class': ['gall_date'], 'title': '2021-07-23 19:46:09'}"
3078,내가 취향이 이상한가,ㅇㅇ,(175.112),"{'class': ['gall_date'], 'title': '2021-07-23 18:17:31'}"
3077,ESTP 장거리연애,ㅇㅇ,(223.38),"{'class': ['gall_date'], 'title': '2021-07-23 16:24:48'}"
3076,infp 좋아하는 estp분 계세요?,ㅇㅇ,(218.157),"{'class': ['gall_date'], 'title': '2021-07-23 16:00:12'}"
3075,친구랑 둘 다 estp인데,ㅇㅇ,(115.143),"{'class': ['gall_date'], 'title': '2021-07-23 13:06:55'}"
3074,조아하는 사람 생기면,ㄹㄹ,(68.233),"{'class': ['gall_date'], 'title': '2021-07-23 11:55:47'}"
3073,ESTP가 왜 공감능력이 없음?,ㅇㅇ,(1.211),"{'class': ['gall_date'], 'title': '2021-07-23 11:09:42'}"
3072,나 estp인데 리듬게임좋아함,ㅇㅇ,(218.50),"{'class': ['gall_date'], 'title': '2021-07-23 06:12:06'}"
3071,엣팁이면 운동을 하자,ㅇㅇ,(222.232),"{'class': ['gall_date'], 'title': '2021-07-22 23:30:23'}"
3070,엣팁 여사친 연락 줜내 안보냐 너무하네,화이팅,(39.122),"{'class': ['gall_date'], 'title': '2021-07-22 21:05:06'}"
3069,난 나름 남한테 관심 많은데,ㅇㅇ,(211.36),"{'class': ['gall_date'], 'title': '2021-07-22 21:03:09'}"
3067,열등기능 어캐 벗어나냐,ㅇㅇ,(1.229),"{'class': ['gall_date'], 'title': '2021-07-22 15:55:17'}"
3066,뭔 유사mbti할때마다 infp나옴,ㅇㅇ,(106.101),"{'class': ['gall_date'], 'title': '2021-07-22 12:06:27'}"
3064,estp 여자특징은 뭐임?,ㅇㅇ,(125.184),"{'class': ['gall_date'], 'title': '2021-07-22 06:58:50'}"
3063,ESTP 남자 특징이 뭐야 ? ,ㅇㅇ,None,"{'class': ['gall_date'], 'title': '2021-07-22 05:30:41'}"
3062,니네 길갈때 갑자기 잡생각 날때 있음?,ㅇㅇ,None,"{'class': ['gall_date'], 'title': '2021-07-22 04:17:31'}"
3061,엣팁님들아 님들 좋아하는 사람 있으면,엣팁한정금사빠,(211.193),"{'class': ['gall_date'], 'title': '2021-07-21 22:49:37'}"
3060,사람들이 우리 눈치 없는 줄 알잖ㅇㅏ,ㅇㅇ,(39.117),"{'class': ['gall_date'], 'title': '2021-07-21 20:50:49'}"
3058,※ESTP만 들어와주세요.,뇌에핀트나감,None,"{'class': ['gall_date'], 'title': '2021-07-21 19:41:54'}"
