number,content
설문,
공지,
3079,"
니네랑 반대잖아 "
3078,"
나 여잔데 불건강한 씹프피 말고 건강한 씹프피는 뭔가 꼴림...  "
3077,"
ESTP는 장거리연애 극혐하죠? "
3076,"
저는 infp구요 estp의 화끈함이 참 멋있는거같아요ㅎㅎ "
3075,"
서로 티키타카 개오짐 ㅋㅋㅋ 근데 또 서로 개좋아함 ㅋㅋㅋㅋ "
3074,"
너네도 조아하는사람 생기면 막 말하고 다님?막 못숨긴다기보단 걍 계속 그사람얘기하고시퍼서 약간 썰풀듯이? 그래서 막 사람들이 재밋어하면 나도 재밋고근데 이게 별로 안좋은거가틈 사람들 마니 알게되면서 뭔가 오지랖질하거나 꼬이게 보는 사람 생겨서 기분상하거나 상황이 뭔가 이상하게 흘러감 "
3073,"
공감하는척 위선떠는게 역할뿐인데ㅋㅋ "
3072,"
https://youtu.be/9IM2CpjvPrQ좆같은 게이팝 듣보팝송 들을바에 노짱마냥 응디 흔들어재낄수있는 리겜함ㅇㅇ "
3071,"
난 ㄹㅇ 인생에서 운동, 음악은 못빼놓는다 "
3070,"
식었네...이정도면 손절 준비중임 내가 봤을때 ㅜㅜ "
3069,"
주변인들은 관심 좀 가지라고 함 ㅆㅂ 나보다 진심인 사람 없을텐데 "
3067,"
ㅈㄴ 나에게 불리한 상황이 만들어지거나 안좋은쪽으로 흘러가면 의미부여하게 되는데 이거 벗어나는 방법 없냐? (최근들어 앱에서 알바 코멘트 있었는데 그게 사장님이 앱 매니저한테 코멘트 보내는거 있음. 예전엔 알바 신청하면 배정됨. 현재 알바 신청하면 다 미배정 되는데 사장님이 앱 매니저한테 나 뽑지말라는등 그렇게 썼나 의미부여함.) + ㄹㅇ 머리가 멍하고 잡생각이 많아짐. 그리고 무기력해질때도 있음. 활력도 그전 같지 않고 만사 피곤함.  - dc official App "
3066,"
근데 자타공인 estp임뭐지 대체? "
