number,content
1792,"
ㅎㅇㅎㅇ  - dc official App "
1791,"
다른 갤애 estp 까는글 많다는데 어디가 젤 많아?뭐라고 까는지 궁금해 "
1790,"
-A 랑 -T 왔다갔다하지만 ESTP벗어난적은 없다 "
1788,"
조용할 때는 진짜 조용함 굳이 말 걸지도 않고 누가 화났냐고 물어볼 정도로 차분하고 조용함 (물론 ㅋㅋ 아무 생각 없이 있는기 건데 간혹 화났냐고 물어볼 때 있음) "
1787,"
내가 약간 ESTP치고 감성적인 면이 강하거든그래서 ISTP가 약간 공감력이 부족한 특성이 있는진 모르겠는데 뭐 고민상담같은거 할 때 공감을 거의 아예 못해주고이성적으로만 말해줘서 그 때 좀 갈등 1번 있었음근데 나머지는 같이 있으면 편하고 좋음 ㅇㅇ "
1786,"
https://www.youtube.com/watch?v=AdMgVkp4OXIhttps://www.youtube.com/watch?v=ototMJ5JJyUhttps://www.youtube.com/watch?v=g7oVYWjhL3c- dc official App "
1785,"
둘다 내성격같아서 공감되는데 검사결과도 반반임 "
1784,"
https://m.dcinside.com/board/infj/32007  "
1783,"
ㅇㅇ "
1782,"
1도 신경 안씀ㅋㅋㅋㅋㅋestp는 신경을 껏다 킬 수 있는 스위치가 있거든요^^ "
1781,"
미혼남녀, 모쏠아다보다 저런 미성년자 싸튀충이 생물학적 우위에요. "
1780,"
엣팁되고싶은데 안되고싶음 엣팁 좋은 거 모기입대고 빨고싶네 - dc official App "
1779,"
이번에 나랑 맞을꺼 같아서완전 무대포로 들이댐ㅎㅎ 먼가 부담스러운가봐..하긴 인기많은 그녀 이기도 하니까ㅎ이번 3개월정도 기다리고 내가 할수 있는건 다했어 선물도 주고근데 플러팅 실패다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ좃같네나정돈데 이정도 나오면 걍 맘 접어야겠지??ㅎㅎ이새벽 소주 깐다 스블... "
1778,"
나는 외향형보다는 내향형인 것 같은데 그러면 앞에 e만 i로 바꿔도 됨?아니면 검사 다시 해야함? 두 번 정도 했는데 estp 나왔는데 뭔가 좀 아닌 것 같아서 "
1776,"
애인이 기 별로 안세고 조신하게 말같은거 잘들어줬으면 좋겠음.근데 답답하면 짜증남.친한친구중에 검색부터 안하고 나한테 물어보는 핑프있으면 개답답해서 면전에 개쌍욕박음.근데 물어보는거 대답 잘해줌.처음보는 사람한테 엄청 친절하게 하는데 친한친구한테 싸가지없게함.대화할때나 카톡 같은거 할때 감정표현 잘 안함.일 잘한다는 소리 많이들음.진심으로 빡치는일 있으면 고소를 하던 끝을 봐야함.약간 빡치는일은 유튜브좀 보고있으면 까먹음.집에 있는거 별로 안좋아함 아무리 피곤해도 카페인 들이키면서 나가서 놈. "
1775,"
피가 줄줄 나오네 뭔가 썩은 피가 나오는 것 같아서 기분이 좋다. 약간 흥분되네 "
1773,"
5252- dc official App "
1772,"
 나 돌려말하는거 진짜 못알아먹는듯 진짜 센스가 나가뒤진거 같음...가령 친구들의 대화에서ENFJ - ""너네 화장실 안갈거지??"" ESTP- ""응 난 안가"" ENFP-  ""우리 여기서 기다릴게 다녀와"" 이러고 엔프제는 화장실감ㅋㅋㅋㅋㅋㅋㅋ너네라면 저 질문에 어케 대답할거임??나 진짜 센스가 개 부족한거냐..시발...센스있는 엣팁들아 조언좀 "
1770,"
낮보다 밤이더좋고밝은거보다 어두운게좋음- dc official App "
1769,"
나는 정말 매력적이구나 "
1768,"
https://m.dcinside.com/board/entp/73428 한끗차이인 entp는 이거 동그라미 거의 다 되더라..  s랑 n 차이가  먼가 차이가 되게 큰거같아   "
1767,"
몇번 얘기하고 아 얘랑은 걍 이정도까지만 친해지겠다... 이런 느낌이면 걍 관계에서 노력을 안 함 관심도 옶고 완전 필찾 됨 그렇다고 걔들한테 벽은 없는데 오는 사람 안 막고 굳이 부르지도 않음 내가 좋다싶은 애들한테만 존나 진심으로 대해서 싸우거나 손절하는 일도 없는듯 그렇다고 굽히는 건 아님 관계에서 유대감보다는 무조건 재밋게 노는 용도임 걍 가족도 못 오는 벽이 있어 막 회피형은 아니고 그럴 생각을 아예 안 해 너희도 이런가 궁금해서 "
1766,"
ㅠㅠ 어떻게 이럴수가 "
1765,"
난믿어- dc official App "
1764,"
평소엔 존나 솔직하고 속마음 1도 숨김없이 얘기 다 하니깐 주변에서 인식이 그렇게 박혀있어서 가끔가다 거짓말해야 하는 상황에서 잘먹히는듯 구라쳐도 평소 이미지가 존내 솔직한 사람으로 박혀있어서 그런가봐  "
1761,"
ㅅㅂ 상극중에 상극이라는데조언좀 "
1760,"
궁금함- dc official App "
1758,"
외롭다- dc official App "
1757,"
남자친구가 estp라서 어떤 사람일까 궁금해서 들어와봤어요ㅠㅠ 사실 글 못 쓰고 안 쓰는데 술 마셔서 용기가 조금 생겼어요!!!ㅎㅎㅎ estp분들이 싫어하는 행동이 뭘까요?! 남자친구한테 안 하려구요ㅠㅠㅠㅠㅠ 소심하고 남 눈치 보고 이런 것도 싫어할까요??ㅠㅠ  - dc official App "
1756,"
난 좀 좋아하는 편 "
1755,"
https://youtu.be/jWoBtcFw040ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ "
1754,"
나만그렇니- dc official App "
1753,"
방금 isfp 나왔음ㅋㅋ 근데 i가 51퍼 f도 51퍼임.. 그냥 e하고 i, t하고 f가 반반인데 왔다갔다 하는 듯 "
1752,"
난 레슬링함 "
1751,"
나가놀자 ~ 웃힝- dc official App "
1750,"
울집 강아지는 intp로 추정됨 i 아예 짖지도 않고 어슬렁어슬렁 다님 n 어디있나~~? 하고 찾으면 베란다에 혼자 있음 t 자기주장 ㅆㅅㅌㅊ 개키우는 사람들 알거임ㅋㅋp 돌발행동 할 때 있어서 잘지켜봐야됨 속정 많은 츤데레 갱얼쥐 "
1747,"
예전에는 글들보면 공감되고 좀 웃겼던거 같은데 요즘은 또 서로 싸우기 바쁘네 싸우는거 안귀찮나용 ㅋㅋㅋㅋㅋㅋㅋ난 싸우는것도 귀찮아서 그래 하고 무시하는데.. 싸우지마요 여러분 행복하게 삽시다 인생뭐있나요 화이팅~ "
1746,"
나름 잘 맞음  "
설문,
1745,"
여기념글 말고 다른데 다 싸돌아 댕겨보니 존심이 너무쌔다 자기주장이 너무강하다 인데 난 솔직히 잘모르겠음 존심 쌔게 나간적 주장 강하게 내새운적 별로 없던거 같은데 "
1744,"
https://m.dcinside.com/board/entp/74482  "
1743,"
질문 던져주라  "
1742,"
인팁이나 인프제는 유치원생가틈- dc official App "
1741,"
나 요즘 너네가 넘 좋아져서 한 번 놀러와봤다 난 엔팁임  잘 부탁해~ㅎㅎ  "
1740,"
난그닥- dc official App "
1739,"
그걸왜하는거지 걍쳐먹고 예고편보셈- dc official App "
1738,"
지는 뭐길래 도대체 왜 내 mbti를 운운하는거냐  엣팁은 맨날 쿨하기만 하냐고..^^  파생글 쓰기 싫었는데 짜증나 돌아버리겠네ㅠ 저런 애들보면 엣팁한테 무슨 로망 있나 싶음  내가 뭘 해도 아니라고 하겠지ㅋㅋㅋ  즈그갤로 가던가 타갤까지 와서 이럴 일이야?   - dc official App "
1737,"
해당자 입갤 "
1736,"
난 인프피나 인팁 보면 존나답답함- dc official App "
