number,title,writer,ip,date_dict
1778,한번 전화하면 안 끊을 것 같은 수다왕 스타는?,None,None,{'class': ['gall_date']}
335333,mbti 직업 통계,ㅇㅇ,(39.7),"{'class': ['gall_date'], 'title': '2021-07-08 13:05:10'}"
333128,"이달의 아티스트 마지막 호 : ㅇㅇ, 이피",곰라잇,None,"{'class': ['gall_date'], 'title': '2021-07-04 21:31:46'}"
301709,신고,곰라잇,None,"{'class': ['gall_date'], 'title': '2021-04-22 01:28:58'}"
301710,"불만, 건의사항 접수",곰라잇,None,"{'class': ['gall_date'], 'title': '2021-04-22 01:32:13'}"
264497,인프피 섬 소개 팜플렛,곰라잇,None,"{'class': ['gall_date'], 'title': '2021-01-26 23:44:57'}"
7332,I N F P 분석 (장 문),ILDU,None,"{'class': ['gall_date'], 'title': '2020-02-09 02:46:37'}"
264456,INFP 갤러리 관리 규정 (2021.05.09),곰라잇,None,"{'class': ['gall_date'], 'title': '2021-01-26 23:17:32'}"
344918,여자때문에 친구랑 전부 손절쳤습니다.,백기웅,(39.124),"{'class': ['gall_date'], 'title': '2021-07-23 21:11:04'}"
344917,"다 필요 없고, 여친 빨리 만드는 방법 2가지",ㅇㅇ,(218.146),"{'class': ['gall_date'], 'title': '2021-07-23 21:08:41'}"
344916,후욱후욱 인프피 남자,ㅇㅇ,(58.127),"{'class': ['gall_date'], 'title': '2021-07-23 21:06:49'}"
344915,너네같으면 이런애 연락은해봄?,둘만아는비밀,None,"{'class': ['gall_date'], 'title': '2021-07-23 21:01:31'}"
344914,인프피 남자들아 이거 거절당한거임?,ㅇㅇ,(1.228),"{'class': ['gall_date'], 'title': '2021-07-23 21:00:41'}"
344913,오늘하루 일하느라 힘들었습니다 ..,곽상길,(60.73),"{'class': ['gall_date'], 'title': '2021-07-23 21:00:11'}"
344912,나 그거는 알음,ㅇㅇ,(58.127),"{'class': ['gall_date'], 'title': '2021-07-23 20:58:56'}"
344911,이갤에서 진짜 착한거 같은애 2명 봤음,ㅇㅇ,(223.39),"{'class': ['gall_date'], 'title': '2021-07-23 20:54:34'}"
344910,내 친구 이사람이랑 똑같이 생김,트리링,None,"{'class': ['gall_date'], 'title': '2021-07-23 20:54:01'}"
344909,후.. 봐줬다 니들이 무서워서가 아니야,ㅇㅇ,(58.127),"{'class': ['gall_date'], 'title': '2021-07-23 20:52:37'}"
344908,토망고 삿어,트리링,None,"{'class': ['gall_date'], 'title': '2021-07-23 20:52:26'}"
