number,content
1778,"
다른질문나오나 끝까지 봤는데 이게 같은 질문인거같더라난 조용한곳좋아하지만 벽쪽에 붙는거 싫어하거든 "
335333,"
요청을 받고 찾아왔습니다! 이상한 댓글과 대댓글을 제외하고 1311명  오차범위는 ±1 정도! 인티제 한 명 답변 이상한 거 지웠는데 반영 안된 그래프가 있거든..... 이게 1311명이 아니라 1312명 기준으로 한 답변한 유형에 대한 그래프입니다! 1등 ENFP  2등 ENTP 3등 INFP 4등 INTP N의 의지 ㄷㄷ 그 외의 유형들로는  이런 분들이 계셨습니다. 다음은 각 유형별로 어떤 직업들이 가장 많이 언급되었나, 에 대한 단어구름입니다! 단어구름이라는 단어를 몰라서 좀 헤맸습니다. 사이트 찾아서 만들어봤어요. ENFJ : 공무원 개발자 기획자 디자이너 마케터 영업직 ENFP : 승무원 마케터 영업직 마케팅 개발자 회계 확실히 텐션이 높은 거 같습니다. ENTJ : 기획 마케팅 개발자 설계 승무원 은행원 디자이너 사업 ENTP : 기획 개발 개발자 마케팅 영업직 디자이너  계획하고 기획하고 그걸 사람들에게 설득하는 과정이 재미있다는 댓글을 본 기억이 나네요 ESFJ : 개발자 승무원 역무원 엔지니어 영업 교사 ESFP : 개발자 사무직 승무원 교사 기획 영업직 ESTJ : 사무직 개발자 영업 은행원 기획 설계 마케팅 ESTP : 영업직 마케팅 영업 교사 은행원 개발자 디자이너 회계사 INFJ : 공무원 개발자 엔지니어 디자이너 승무원  INFP : 개발자 디자이너 승무원 은행원 기획 디자인 영업직 INTJ : 엔지니어 개발자 공무원 기획 프로그래머  INTP : 개발자 디자이너 공무원 엔지니어 ISFJ : 은행원 공무원 회계 승무원 행정직 기술직 ISFP : 공무원 디자인 영업직 바리스타 간호사 사무직 개발자 ISTJ : 개발자 엔지니어 영업직 공무원 기획 디자이너 여기서부턴 갑자기 엔지니어 글자가 인식이 안돼서 글씨체를 바꾸게 되었습니다; ISTP : 개발자 엔지니어 은행원 연구직 세상에 사람은 많고 직업도 다양하더라구요. 경향은 있지만 그래도 어느 유형이든 다양한 곳에서 근무중이신 거 같습니다. 총 자료는 양이 많아서  스샷 떠오기보단 걍 공유문서 하나 만들었습니다. 궁금하신 분은 한번 보러오세요 ^_^ 유형별로 시트도 다 분리해뒀습니다. https://docs.google.com/spreadsheets/d/1JJ1DZSl58Bdy0CQVg6O5Gmwsy26ebpbVnl1aqhr1cGk/edit?usp=sharing 궁금한 점이나 수정할 사항 있으면 댓글 달아주세요~  - dc official App "
333128,"
INFPhttps://m.dcinside.com/board/infp/318664아티스트 | ㅇㅇ기법 | 디지털 드로잉한줄평 | - 그림 sns 있으면 구독하고 싶다- 잘그렸다~~☆☆☆- 귀... 귀여운거 최고비프웰링턴고오급 요리. 이건 과정을 보는걸 추천https://m.dcinside.com/board/infp/311118아티스트 | 이피본문발췌 | 고기요리가 취미인데 이렇게 큰 고기는 처음 사본다. 맛은 있었지만 두번은 안한다.한줄평 |  - 요리깨나 한다는 사람들도 첫 도전엔 실패하던데 대단하다- 퀄리티가 미쳤다. 한입만요 진짜 멋있다._6월호 | 벌써 7월이 되어 버렸습니다. 사실 비프웰링턴 요리글은 5월에 올라온건데 N행시 대회로 인해 올리지 못했지만, 너무 멋지게 만들기도 했고 요리글을 꼭 아티스트로 뽑아보고 싶어서 선정했습니다.갈수록 텐션이 떨어져서 아티스트는 6월호까지만 적어보고자 합니다. Infp치고는 6개월동안 꾸준했다고 생각...지금까지 올린 글들이 처음 취지처럼 infp들의 긍정적인 부분, 창작적인 면을 많이 볼 수 있었다고 생각하셨으면 좋겠습니다. 앞으로도 창작활동의 적극적인 공유 부탁드립니다.그동안 봐주셔서 감사합니다.이달의 아티스트 1월호https://m.dcinside.com/board/infp/266298이달의 아티스트 2월호https://m.dcinside.com/board/infp/275116이달의 아티스트 3월호https://m.dcinside.com/board/infp/287746이달의 아티스트 4월호https://m.dcinside.com/board/infp/308588이달의 아티스트 5월호https://m.dcinside.com/board/infp/321289- dc official App "
301709,"
사이버 안전 지킴이법령 검색https://m.dcinside.com/board/infp/264456❗+신고범법자를 신고할 수 있음인프피가 안전한 사이버 공간~인프피와 소통하는 따뜻하고 믿음직한 인프피로 인프피와 함께 하겠습니다~- dc official App "
301710,"
INFP 갤러리에 도움될만한 의견이나 불만이 있을 시 작성부탁드립니다.인프피가 안전한 사이버 공간~인프피와 소통하는 따뜻하고 믿음직한 인프피로 인프피와 함께 하겠습니다~- dc official App "
264497,"
승객 여러분 안녕하십니까인프피 섬 이주 패키지 전세기는 곧 목적지에 도착합니다본 INFP 마이너 갤러리는 이 트윗에 근거해 동물의 숲 컨셉입니다.마을 멜로디: Beauty and the Beast 여주가 인프피여서 고름추후 콘테스트와 투표를 통해 뽑아볼 의향 있음연도별 관리자 기록2019년 11월 ~ 5월주딱 | jvckiwi파딱 | 살바도르하얀댕댕이 전활거네나리2020년 6월 ~ 12월주딱 | 커피파딱 | 증상무증상시푸르다잔-다르크우리2021년 1월 ~ 현재주딱 | 곰라잇파딱 | 블루쵸아 오잉또잉잔-다르크RuminationAURORA- dc official App "
7332,"
이 글은 MBTI 검사를 통해  16가지 유형 중INFP 유형이 나온 한국인이 어떤 유형인지 생각해서 써본 글.(해당 검사는 https://www.16personalities.com/ko에서 무료로 테스트 가능하다)목차 1) 항목별 분석 - I,N,F,P 2) 종합적 분석 - 이미지와 한국식 바리에이션유입으로 구경온 사람들은 2)부터 읽어보는게 좋을 듯 싶음.1)항목별 분석 I : 내향적이다일단 사람들과 만나는 것을 비교적 즐기지 않는다는 의미.하지만 MBTI의 특성때문에 추가적으로 설명을 하자면.사회에 존재하는 자신의 모습을,자신이 바라보고,자신이 생각해서 검사받는 특성에 의해,사람들과 잘 어울리지 않고 있다면 그냥 내향성이 나올 수도 있다.(맘속으론 E지만 본인 처지로 문항을 체크한 I,I에 가깝지만 사람과 어울리는것도 싫지 않아 E, 등의 가능성이 있음.)결론 : 타의적으로 내향성이 나온 그냥 아싸일 수도 있다 ㅠㅠN : 총체적인 시각을 갖는다일단 대상을 인식할때 자신이 느끼는 느낌으로 이해하기 보다는다른 비슷한 대상과 비교해서 이해하는 타입.""저사람은 내가보기엔 별로 같아.""S - 그냥 내 스타일이 아니네. 저런 스타일 안 좋아해.N - 저런 사람은 대개 이런 느낌이야. 주변 사람들도 싫어할 듯.S는 자신이 느끼는 대로 뚜렷하게 말할 수 있다.N은 배경과 함께 이해하려고 하기에 좀 불명확하게 말한다고 느낄 수 있지만 어찌보면 객관성을 가지기도 한다.더 신중하다고도 말할 수 있을지 모른다.F : 감정중심적이다뭐 비현실적이거나 머리보다 가슴이 앞선다기보단 인지능력에 있어서 공감능력쪽이 발달되었다고 보면 될듯.P : 관대한 편이다 (융통적)성격이 좋고 완만하다는 의미뿐은 아니다.스스로에게만 관대할 수도 있기 때문에.하지만 우선은 너그러운 편이다.2)종합적 분석I / N / F / P과묵하게 / 눈치를 보고  / 공감을 잘해주는 / 유한 성격.말 없이 생각하는것을 즐기고 감정적인 연유로,스스로의 독특한 감성을 가지거나 취향을 가질 수 있다.그렇기 때문에 INFP는 예술가형이라는 라벨을 가지고 있다.비슷한 유형인 INTP는 연구자형이라는 별명을 가지고 있는것을 보면 그 공통점을 짐작할 수 있다.하지만 스스로에게 관대한 점이나 공상을 하는 점 등이게으르게 되는 경향으로 이어지면 심리상태가 불안정해 질 수 있다.한국은 사회적 유대를 강조하고 적극적인 참여를 장려하지만또 모순적이게도 겸손함과 나서는 것에 눈치를 보는 사회이기도 하기 때문에 유년기에 혼란이나 감정적인 골을 겪는 경우도 있으리라 짐작된다.Q. 내 주변에 인프피가 있을까? 어떻게 알아볼 수 있을까?A. 속한 집단중에공적인 집단에서는 말수가 적지만 착해서 다들 좋게 생각하는 이미지,사적인 집단에서는 말수도 자유분방하고 착하지만 게으르고 우울함을 내비치는 이미지일 것이다.공적 집단에선  곰 같은 이미지나 독특한 성격을 가지고 있는 조용하지만 말투나 사고방식이 특이하고 대개 착해보이는 사람이 인프피이다.사적 집단에서도 특이하고 재미있는 성격은 동일하지만 생각이 많은 만큼 말이 많을 수도 있다. 하지만 먼 타인들에겐 어색한 모습을 보이고, 스스로에게 부정적인 감정을 갖거나 이를 나에게 설명하여 부담감을 주는 캐릭터가 바로 이 유형.하지만 이에 대해 스스로만큼 많이 생각해본 사람은 없기에 딱히 해줄 말은 없고, 이야기를 들어주는 것이나 공감하는 것으로도 도움이 된다.중요한 사실은 그 인붕이는 당신을 감정적으로 의지한다는 뜻이라는 것.한마디로생각이 깊어 남에게는 친절하지만 스스로에게는 상처가 많을 수 있는 유형이다.밑에 주딱이 고민하길래 생각해서 써봤더니 길어질려고 해서 그냥 길게 씀 ㅋㅋ 지속적으로 추가하게 한번씩 봐바 ㅋㅋ "
264456,"
도배같은 글 연속 세개 이상 작성 시첫 글이 너도나도 아는 도배러의 경우*차단 24시간분쟁싸움 파생 글, 저격글은 인당 1글로 제한,쿨타임은 12시간간접적, 직접적 닉언 포함된 글은 불가능개념글 가면 개념글 해제1글 넘어서 뇌절하면 매니저가 경고 후, 24시간 차단(심테갤규정참고)닉언 제목, 내용에 닉언초성포함*차단 1시간신체인증 얼굴, 옷 등 성별을 알 수 있는 경우 (손, 발 등 성별을 알 수 없는 경우 ok)*차단 6시간인프피 비난글밑도 끝도 없이 욕하는 경우인프피에 대한 가스라이팅(인프피들은 이래서 안된다)인프피에 대한 성희롱(들,박충 등)만만하니까 패는놈들도 차단.(이랬으면 좋겠다 등 비판글 ok)*차단 24시간남녀갈등 조장, 정치글 한x, 메x, 운,x*차단 6시간추천 주작개념글 고닉 추천 2개 이하인 경우 내림연속발생 시 일시적으로 개념글 선정기준 추천 100개로 올리고 내용 주딱이 검토 후 개념글 선정함완화시 기준 원상복귀분탕분위기 망치는 새기 출몰하는 경우*영원히 차단친,목과 친,목관련글 전부 삭제차단 먹었어도 반복되는 경우,파딱들 재량에 따라 영원히 차단 먹을 수 있음분위기 망치면 혼나 ! ! !- dc official App "
344918,
344917,"
다 필요 없고, 여친 빨리 만드는 방법 2가지1 돈 많이 번다2 그게 아니면 운동해서 몸 만든다Ps.난 둘다 안 한다 ㅋ음악 합성인거 같은데, wow 남자던 여자던 운동하는데 좋아보이네 듣고 보고 맛보고? ㅋhttps://m.youtube.com/watch?v=7nZ3NE4LnAA "
