number,content
343811,"
한사람말만 듣긴 그렇고 지금 7추면 개념입니다. 찬성하시는지? 갤 내부에 문제가 있을만한 내용이 있다면, 공지사항 ""신고"" 게시글에 답글로 남겨주세요.공지사항은 PC에는 상시노출, 앱으로는 하단 갤러리 메뉴로 들어갈 수 있습니다.파딱도 사람이라서 즉시처리가 안될 수 있음 ㅈㅅ "
343810,"
시간이 약인거 같기도 함가해자들 인생이 나락을 가진 않더라앞으로 내가 열심히 살아야지 뭐오늘만 쓴소리 생각하고 내일부터 내일 일어나야지 "
343809,"
https://decalcomanie.netlify.app/돌고래께서 고양이님을 찾으십니다 "
343808,"
날 좆같은 경험한 사람들이아직도 같은 공기를 마시며 아무렇지 않게 사회생활하고 잘 살고 있는 모습이 너무 좆같아 "
343804,"
왜케 잠이 안올까아침 6시30분에 기상하고 밤에 잠안와서 수면유도제 한알씩 맨날 처먹는데 처음엔 효과 장난아니였는데 이젠 효과도없네 잠이 안온다 미칠거같네  "
343802,"
어차피 난 연애할 생각 없음 머가중요함ㅋ 동성애자든 이성애자든 친구는 할 수 있잖아 다같이친구.해 왜 친구.해가 금지어지?ㅠㅠ  "
343800,"
나 학교 다닐 때 게이설 돌긴 했음알고보니 여자들이 만든 썰이였고상처 받았었다 "
343797,"
뜬금없이 왠 동성애 얘기? "
343794,"
맨날 살고싶지않다, 죽고싶다 이러면서 코로나 걸리기 싫고 백신 부작용 무서워서 맞기 시러한다- dc official App "
343793,"
첫번째는 초중딩때 다니던 체육관 형이었는데착하고 붙임성 좋아서 맨날 운동 끝나고 같이 집에 갔음(한 10시~11시?)근데 어느날 나랑 같이 얘기하는거 재밌다고 놀이터에서 노가리좀 더 까자길래 같이 있었는데얘기하다가 갑자기 키스하더라막상 그런 일 당하고 보니 존나 당황해서 아무것도 못하고 있었다그러다 바지벗기고 입으로 해주려고 하길래 이건 아무래도 에바인것 같아서 컷하고 자리 피함그 뒤로 그냥 평소처럼 지내다가 체육관 끊으면서 연락끊겼다두번째는 대학교 후배였는데 같은 교양 듣다가 만남얘는 키도 작고 얼굴이랑 목소리도 여자애 같아서 형이라고 부를때마다 위화감 느껴질 정도였는데맨날 여자애들 보는 앞에서 대놓고 허그하고 귀척함친한 사이고 걍 그런일에 편견없어서 받아줬는데나도 암암리에 동성애자라고 소문이 돌지 않았을까난 분명 이성애자인데 딱히 그쪽에 거부감이 없어서 그런가 오해 많이 받는듯 "
343791,"
오소이  - dc official App "
343790,"
불보꽃지라는 닉네임 정지먹었다고여 상담사한테 따졌다는데 "
