number,title,writer,ip,date_dict
220,요즘 관심 있는 회사 노바텍,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-23 22:49:01'}"
219,뇌가 없이도 생각할 수 있는 동물,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-23 11:28:17'}"
218,포토샵에 들어 간 AI 기능,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-22 17:04:32'}"
217,지방 연소와 장 건강에 도움이 되는 마사지 방법,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-22 11:31:39'}"
216,오랜만에 온김에 산 책 인증,가정교사파블로,None,"{'class': ['gall_date'], 'title': '2021-07-21 18:32:58'}"
215,코로나에 대한 팩트 정보만,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-21 14:48:29'}"
214,체지방률에 따른 몸매 그리고 건강,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-21 12:54:22'}"
213,야호 카카오 주가 많이 빠진다,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-21 11:59:28'}"
212,재밌게 본 영화는?,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-20 20:13:03'}"
211,인티제들아 재밌게 본 드라마 있냐?,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-20 20:10:02'}"
210,오랜만에 운동해야지,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-19 22:31:48'}"
209,배우고 또 배우는 것 밖에 답이 없음.,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-18 21:28:51'}"
208,혼자서도 할 거 ㅈㄴ 많지 않냐,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-18 21:26:44'}"
207,경제공부는 어떻게 하는 것임?,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-18 21:19:06'}"
206,니들은 뭐하고사냐,부릉탁,(119.203),"{'class': ['gall_date'], 'title': '2021-07-18 19:51:00'}"
205,발효식품이 장내 미생물 다양화하고 염증 줄인다,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-18 11:14:53'}"
204,장마인데 왜 비가 안 오는 거야,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-16 13:31:50'}"
203,자율주행이 가져올 변화들,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-16 11:01:11'}"
202,아 ㅅㅂ 주식 ㅈㄴ 처물렸네,부릉탁,(118.235),"{'class': ['gall_date'], 'title': '2021-07-16 10:04:20'}"
201,내가 닮고 싶은 투자가 강방천 회장,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-16 08:54:47'}"
200,현대차의 자율주행 상황 찾아 봤음,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-15 19:50:16'}"
199,기토 명상중 ,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-15 18:46:34'}"
198,테슬라 FSD 9.0 관련 영상,검은아이,None,"{'class': ['gall_date'], 'title': '2021-07-15 18:42:02'}"
197,날개 없는 풍력 발전기,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-15 12:06:46'}"
196,나는 개인적으로 수소 관련 산업이 발전할 것 같음,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-15 11:45:47'}"
195,"우리나라 항공우주, 중공업분야 장기적으로 봤을 때 발전할 것 같음?",INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-15 11:26:02'}"
194,영국 해양 생물 산 채로 삶는 등의 행위 금지,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-14 21:20:05'}"
193,삼성 차량용 이미지센서 시장 진출,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-14 16:15:24'}"
192,자신에게 갑자기 슈퍼맨과 같은 능력이 생기면?,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-13 23:32:25'}"
191,카푸스틴 바리에이션 + 드럼 클래식베이스,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-13 21:12:08'}"
186,내년에 최저임금 또 올라가네 ㅋㅋ,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-13 17:10:44'}"
182,너희 시나리오 같은 거 생각해보고 그런 적 없음?,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-13 00:17:18'}"
180,연애얹해보냐,부릉탁,(118.235),"{'class': ['gall_date'], 'title': '2021-07-12 17:32:25'}"
179,INTJ 갤러리 갤러리,유대인식교육,(1.11),"{'class': ['gall_date'], 'title': '2021-07-12 16:52:08'}"
178,피아노 연습,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-12 12:20:03'}"
177,와사비맛 아몬드 너무 맛있어,ㅇㅇ,(211.211),"{'class': ['gall_date'], 'title': '2021-07-12 09:29:52'}"
175,더워서 만들고 있는 곡,노래하는인붕이 ,(112.221),"{'class': ['gall_date'], 'title': '2021-07-12 00:31:09'}"
173,근데 우리갤 이대로 괜찮은 건가?,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-11 22:18:30'}"
172,50대 코로나 사전 예약 방법 바로,23123,(110.47),"{'class': ['gall_date'], 'title': '2021-07-11 22:16:13'}"
171,러시안 블루 특징,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-11 21:52:24'}"
170,러시안 블루 꼭 인티제 같음,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-11 21:47:19'}"
169,그냥 심심해서 여기에 쓰는 뻘글,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-11 21:38:28'}"
167,요즘 비판텐 연고 머리카락에 바르고 있음ㅋㅋ,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-11 13:32:37'}"
166,mbti와 비행청소년의 관계,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-11 12:25:41'}"
164,좋은 사람들로 채워넣기,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-11 01:03:16'}"
163,심해 수중 카메라에 포착된 유리문어,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-10 21:28:22'}"
162,아이스티 좋아,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-10 18:44:54'}"
161,나 intj 인데 모솔임,부릉탁,(119.203),"{'class': ['gall_date'], 'title': '2021-07-10 14:55:54'}"
160,우리에게 호기심이 중요한 이유,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-10 11:31:08'}"
159,저 이 노래 초반부가 조아요,제리뽀,None,"{'class': ['gall_date'], 'title': '2021-07-09 22:41:41'}"
158,첫 번째 작곡 완료,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-09 22:06:49'}"
156,태양계의 크기 실감해보기,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-09 18:31:01'}"
155,작곡이 가능한 사이트 소개,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-09 12:05:48'}"
153,내가 쓴 글에 내가 감동받아 버리는,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-09 02:14:57'}"
152,일주일 정도 mbti관련 갤들을 돌아다니면서,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-09 00:00:36'}"
151,요즘 차 쓸 일이 너무 없어서 배터리 방전됐음,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-08 20:41:05'}"
150,달에 대한 소소한 이야기,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-08 15:11:09'}"
149,노래 올려달래서 올림 찾기 개어렵네,노래하는인붕이 ,(211.44),"{'class': ['gall_date'], 'title': '2021-07-08 11:47:24'}"
148,이과생이 좋아할 것 같은 노래,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-08 08:17:47'}"
146,ai 탭을 하나 만들어야 하는 거 아닐까?,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-07 22:00:06'}"
145,갓 ai 색칠,ruru,None,"{'class': ['gall_date'], 'title': '2021-07-07 21:44:21'}"
143,여기는 왜 갤이 두개야,부릉탁,(119.203),"{'class': ['gall_date'], 'title': '2021-07-07 19:52:30'}"
142,오 갤러리 대문 누가 그린거야? 예쁘다,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-07 19:15:24'}"
140,10년을 바꿀 유망 섹터 요약,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-07 18:50:16'}"
139,갤러리 이름 변경 되었다 ㅋㅋㅋ,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-07 17:16:38'}"
138,본격 AI 색칠공부 갤러리,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-07 10:42:45'}"
137,슈퍼밴드2에 출전한 천재 연주자들,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-07 07:59:32'}"
136,intj 할아버지 ai로 색칠하기,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-07 00:44:40'}"
135,와 대박 멋진 작품 나왔음,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-07 00:11:45'}"
134,ai 색칠,ruru,None,"{'class': ['gall_date'], 'title': '2021-07-06 23:28:43'}"
131,인프피갤에서 추천받은 곡,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-06 22:14:03'}"
130,읗으 하하색칠해봤따,제리뽀,None,"{'class': ['gall_date'], 'title': '2021-07-06 22:13:12'}"
129,어제 infj갤 오늘 intp갤 관찰 일기,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-06 21:10:51'}"
127,목어깨 아파서 도수치료 받고왔다,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-06 19:32:23'}"
126,포도당을 연료로 생체 내에서 움직이는 '나노모터' 개발,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-06 19:15:30'}"
125,MBTI유형에 따른 고등학생들의 학습방법 차이 연구,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-06 18:24:58'}"
124,연헌 첨엔 좀지지했음,ㅇㅇ,(61.77),"{'class': ['gall_date'], 'title': '2021-07-06 14:35:01'}"
123,AI가 색칠해주는 사이트 소개,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-06 13:49:23'}"
122,또 망상충 납셨누,ruru,None,"{'class': ['gall_date'], 'title': '2021-07-06 13:22:55'}"
121,고결한척 하더니 결국 본갤로 다 넘어갔나보네,ㅇㅇ,(110.15),"{'class': ['gall_date'], 'title': '2021-07-06 13:14:04'}"
119,24시간 지났는데 갤 제목 안 바꿔주네,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-06 08:23:14'}"
117,문예작품과 산업성장률이 관계가 있을까?,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-05 22:59:04'}"
116,인프제 갤에 선물한 주다사 그림,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-05 22:03:56'}"
115,"난 법을 잘 몰랐는데, intj는 법에도 재능이 있을듯.",INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-05 20:25:49'}"
113,고양이 그리다 만 것,식물성분INTJ,None,"{'class': ['gall_date'], 'title': '2021-07-05 18:22:56'}"
112,집에 와서 인터넷 광고 보고 있으니까 그림 그리고 싶네,수련자,None,"{'class': ['gall_date'], 'title': '2021-07-05 15:12:22'}"
111,그래서 올리는 친구 그림과 그림 연습 재업,수련자,None,"{'class': ['gall_date'], 'title': '2021-07-05 14:57:58'}"
108,사건이 어느 정도 마무리 되자 다들 관찰자 모드구나,식물성분,None,"{'class': ['gall_date'], 'title': '2021-07-05 14:41:59'}"
107,이전 그림 연습,수련자,None,"{'class': ['gall_date'], 'title': '2021-07-05 08:49:28'}"
106,우리들 자신을 위한 용서 명상,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-04 23:57:12'}"
65,갤러리 제목을 정하기 위한 투표를 진행합니다,식물성분,None,"{'class': ['gall_date'], 'title': '2021-07-03 07:11:51'}"
103,삼성전자 3나노 GAA 신공정 요약,식물성분,None,"{'class': ['gall_date'], 'title': '2021-07-04 22:37:02'}"
102,너 자신을 알라,ruru,None,"{'class': ['gall_date'], 'title': '2021-07-04 21:34:31'}"
101,어디서 망상의 노예가 된 개가 와서 짖네,ruru,None,"{'class': ['gall_date'], 'title': '2021-07-04 18:26:51'}"
100,누구 특) 로그인하고서는 맞춤법 틀려가며 고상한 척~ ,수련자,None,"{'class': ['gall_date'], 'title': '2021-07-04 17:23:17'}"
99,한심한것들의 추악한 갤러리네,ㅇㅇ,(118.43),"{'class': ['gall_date'], 'title': '2021-07-04 16:44:19'}"
98,이래서 독재가 무섭다,가정교사파블로,None,"{'class': ['gall_date'], 'title': '2021-07-04 14:16:31'}"
97,사교육비를 모아서 주식투자를 하면?,ㅇㅇ,(211.211),"{'class': ['gall_date'], 'title': '2021-07-04 13:40:07'}"
96,주식 관련 용어들,ㅇㅇ,(211.211),"{'class': ['gall_date'], 'title': '2021-07-04 09:36:19'}"
95,수소차가 생각 보다는 많이 보급 되었네,ㅇㅇ,(211.211),"{'class': ['gall_date'], 'title': '2021-07-04 09:22:06'}"
94,아니다 칭구들 내가 너무 치졸한거같다,유대인식교육,None,"{'class': ['gall_date'], 'title': '2021-07-04 03:59:10'}"
92,갤러리 제목 투표가 완료되었습니다.,식물성분,None,"{'class': ['gall_date'], 'title': '2021-07-03 23:55:36'}"
91,우리엄마 infj인데 ,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-03 22:43:58'}"
90,INTJ를 자극하는 10가지,식물성분,None,"{'class': ['gall_date'], 'title': '2021-07-03 22:09:37'}"
89,념글 컷 몇임??,INFJ1234,None,"{'class': ['gall_date'], 'title': '2021-07-03 21:56:56'}"
88,모차르트 클라리넷 협주곡 k.622 2악장,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-03 20:04:49'}"
87,방어기제의 종류,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-03 20:00:47'}"
86,인티제가 고집이 쎈 이유,가정교사파블로,None,"{'class': ['gall_date'], 'title': '2021-07-03 19:21:58'}"
84,(글옮김) 애니어그램 테스트 결과,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-03 19:16:35'}"
83,(글옮김) 8기능 테스트 결과.,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-03 19:13:19'}"
82,(글옮김) 자면서 무의식을 바꿀 수면 명상,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-03 18:59:43'}"
81,(글옮김) 아이 키우기 재밌을 것 같지 않냐?,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-03 18:57:48'}"
80,(글옮김) Intj가 공감능력이 없는 게 아님,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-03 18:56:25'}"
78,정신 장애의 종류,식물성분,None,"{'class': ['gall_date'], 'title': '2021-07-03 17:07:15'}"
77,전에 쓰던 미니갤에 있는 글 정리에 대해,식물성분,None,"{'class': ['gall_date'], 'title': '2021-07-03 17:05:14'}"
76,소시오패스 사이코패스 나르시스트 요약,식물성분,None,"{'class': ['gall_date'], 'title': '2021-07-03 17:02:28'}"
75,각 유형별 최악의 경우,식물성분,None,"{'class': ['gall_date'], 'title': '2021-07-03 16:58:15'}"
74,내가 예전에 각 기능들 요약해 놓은 것,식물성분,None,"{'class': ['gall_date'], 'title': '2021-07-03 16:56:37'}"
73,(youtube)어릴 때 재밌게 봤던거 올리고 감,ruru,None,"{'class': ['gall_date'], 'title': '2021-07-03 16:09:31'}"
72,인티제 마갤 념글 가는법,밸런스,None,"{'class': ['gall_date'], 'title': '2021-07-03 15:44:17'}"
71,아침밥 안 먹고 산에 갔다가 죽을 뻔 했음,식물성분,None,"{'class': ['gall_date'], 'title': '2021-07-03 14:20:36'}"
70,서비스직들 대단한 점.,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-03 12:36:14'}"
69,서비스직 사람들 참 일을 잘하는듯.,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-03 12:27:00'}"
68,그의 명대사 모음,수련자,None,"{'class': ['gall_date'], 'title': '2021-07-03 11:57:07'}"
67,에엥 '그 주딱'은 어떻게 하루만에 관리를 넘길수가 있지?,수련자,None,"{'class': ['gall_date'], 'title': '2021-07-03 11:46:21'}"
66,현재 인티제갤 정치상황,VIvy,None,"{'class': ['gall_date'], 'title': '2021-07-03 09:00:59'}"
64,intj마갤 대피손가,헬루바,None,"{'class': ['gall_date'], 'title': '2021-07-03 00:30:48'}"
63,글이 원래 어그로라 산만해서 지웠다 그림이나 올리고 잔다 ㅇㅅㅇ,수련자,None,"{'class': ['gall_date'], 'title': '2021-07-03 00:22:40'}"
62,갤 이렇게 해줘,가정교사파블로,None,"{'class': ['gall_date'], 'title': '2021-07-03 00:19:40'}"
61,취미&예술 카테고리 요청합니다.,INTJ_tomato,None,"{'class': ['gall_date'], 'title': '2021-07-03 00:04:11'}"
59,굿 ㅋㅋ,INFJ1234,None,"{'class': ['gall_date'], 'title': '2021-07-02 23:54:04'}"
58,공감에 대해서,가정교사파블로,None,"{'class': ['gall_date'], 'title': '2021-07-02 23:50:41'}"
56,뭐야 어려운 주제도 댓글 잘 달리네,ㅇㅇ,(211.211),"{'class': ['gall_date'], 'title': '2021-07-02 23:34:41'}"
55,심리테스트 모음,ruru,None,"{'class': ['gall_date'], 'title': '2021-07-02 23:24:13'}"
54,이곳을 어떻게 만들어 나가야 하는지에 대해,가정교사파블로,(112.223),"{'class': ['gall_date'], 'title': '2021-07-02 22:48:20'}"
52,자본주의의 문제,ㅇㅇ,(58.229),"{'class': ['gall_date'], 'title': '2021-07-02 22:41:00'}"
51,오늘 시작했을 뿐이야,식물성분,None,"{'class': ['gall_date'], 'title': '2021-07-02 22:22:55'}"
50,'그 대상'이 인티제가 아닌 이유,수련자,None,"{'class': ['gall_date'], 'title': '2021-07-02 22:18:55'}"
49,[질문] 코인으로 돈을 벌 수 있다고 생각하는 이유는?,식물성분,None,"{'class': ['gall_date'], 'title': '2021-07-02 22:06:02'}"
47,갤 둘러보고 느낀점,ㅇㅇ,(223.62),"{'class': ['gall_date'], 'title': '2021-07-02 21:36:21'}"
46,인티제들은 손으로 하는 뭔가를 좋아하는 건가?,식물성분,None,"{'class': ['gall_date'], 'title': '2021-07-02 20:55:00'}"
45,이런 말이 있다,ruru,None,"{'class': ['gall_date'], 'title': '2021-07-02 20:53:35'}"
44,근데 역으로 잘 된 것 같기도 함,식물성분,None,"{'class': ['gall_date'], 'title': '2021-07-02 20:45:31'}"
43,연헌 주딱 되는거 반대했지만 취임되고 일말의 기대는 했음,ㅇㅇ,(39.7),"{'class': ['gall_date'], 'title': '2021-07-02 20:42:18'}"
42, 인티제갤 먹은 애들 연헌 포함 전부 ISTJ들로 보임,ㅇㅇ,(39.7),"{'class': ['gall_date'], 'title': '2021-07-02 20:39:26'}"
