number,content
220,"
노바텍은 자석 만드는 회사영구자석 : 전류 공급 없이도 자성이 안정되게 유지되는 자석지금 가장 많이 사용되는 영구자석은 네오디뮴으로 일반 영구자석보다 8배 이상 강함.전기차에 들어가는 모터에는 무조건 강력한 영구자석이 필요함.자동차 조향장치(핸들)의 경우 예전에는 기계식으로 작동 시켰지만 요즘은 센서를 이용해서 디지탈 형식으로 작동됨여기에도 영구자석이 필요차폐자석 : 한쪽 면은 자성을 띄지만 다른 한 쪽은 자성이 없는 자석.스마트폰, 스마트폰 커버, 무선 충전 등에 사용됨노바텍은 삼성과 현대에 자석을 공급하는 자석을 만드는 국내 기업 중 가장 큰 회사부채비율 22.43%정도로 안정적이고 영업이익이 2018년 259억, 2019년 261억, 2020년 679억2021년 예상 1,312억으로 회사가 폭발적으로 성장하고 있음 "
219,"
황색망사점균(Physarum polycephalum)이 생명체는 언뜻 보기엔 곰팡이 같지만, 점액질 형태로 동물처럼 움직이며, 성별이 720개하나의 세포로 이루어진 이 생명체는 입과 소화기관이 없지만, 음식을 먹고 소화세포막에 있는 TRP 단백질이라고 불리는 특별한 채널 덕분에 생각이라 부르는 것과 비슷하게 계산을 수행주변 환경을 물리적으로 탐사하기도 전에 자신들의 성장 방향을 선택할 수 있다.문어도 뇌 뿐만 아니라 온 몸으로 생각을 한다는 글을 어디서 봤는데 우리의 생각과 의식은 뇌에 많이 몰려 있는 것이지 우리를 이루는 모든 구성 물질이 같이하고 있는 것은 아닌가 생각을 해봄목성 같은 곳에는 기체로 된 생명체가 있을 수 있다는 글 도 읽은 적 있음더 나아가면 은하계도 의식과 생각을 가지고 있지 않을까? "
218,"
왼쪽이 원본 오른쪽이 ai가 만든 이미지여자분 얼굴이 이가 살짝 보이는 웃는 얼굴로 바뀌었음남자를 나이 들어 보이게 만들고 얼굴 각도 변경도 가능흑백 사진을 컬러 사진으로 바꾸는 것도 가능하늘을 바꾸는 것도 가능이 사진은 지우고 싶은 대상을 지우고 주변 사물의 패턴을 인식해 ai가 채워 넣었음상상력만 있으면 노가다는 ai가 해주는 세상으로 변하고 있음 "
217,"
자세한 내용은 여기서 확인 : https://www.youtube.com/watch?v=gDhoKlCK_YU&t=119s "
216,"
 "
215,"
우한에서 갑자기 사람을 쓰러지게 하고 엄청나게 많은 사람을 죽게한 코로나는 이미 2020년 초에 변이가 발생지금 유행하고 있는 코로나는 우한의 코로나가 아니고 그 때 그 코로나는 거의 없는 상황요즘 언론에서 겁주고 있는 델타의 치명률은 0.1% 28일까지 추적을 하면 0.3%까지 늘어난다고 함50세 미만의 치명률은 0.023%로 만 명 중에 2명 죽는 정도의료 시설이 잘 되어 있는 우리나라에서 과연 사망자가 있을지 의심스러워지는 부분흠.. 델타를 왜 무서워해야 하는지 논리적으로 설명해주실 분 구함 "
214,"
체지방률에 따른 몸매남자는 일반적으로 여자에서 나누기 2 해야 비슷한 몸매로 보이는 듯노란색은 건강에 가장 좋은 체지방률몸에 지방이 많은 것은 당연히 문제지만 지방이 너무 없어도 문제저체중인 경우 과체중보다 사망률이 3배 높다는 연구 결과도 있음 "
213,"
아직 없는데 많이 떨어지면 사야지카카오가 좋은 이유대다수의 국민이 카카오가 없으면 극심하게 불편해짐 거의 독점프로그램으로 먹고 사는 회사라 새로운 사업을 할 때 토지 매입 장비 구매할 일이 별로 없음제조업은 장비 노후화가 어느 순간부터 사업의 방해 요소로 작용하지만 카카오는 그런 일도 거의 없음새로운 기술이 나오면 패치 작업만 하면 됨프로그램만 열심히 짜면 새로운 사업이 됨 실험적인 사업을 도전하기 용이함새로운 사업을 시작해도 돈이 적게 들고 망해도 큰 피해가 없음일단 궤도에 올려 놓은 사업은 컴퓨터가 자동으로 알아서 해줌 "
212,"
난 영화도 잘 안봄. 하지만 인티제들이 추천하는 영화라면 재밌을 것 같다. "
211,"
난 드라마 잘 안봐서 모르겠는데 요즘 왓챠에서 선덕여왕 잘보고있음 ㅋ나는 옛날 드라마나 챙겨보는 정도임. 시간이 지나서도 명작이다 평가받는 것만 한 번 봄 ㅋㅋ "
