number,title,writer,ip,date_dict
1778,한번 전화하면 안 끊을 것 같은 수다왕 스타는?,None,None,{'class': ['gall_date']}
10301,파딱 뽑아요,센츄리,None,"{'class': ['gall_date'], 'title': '2021-06-22 20:20:21'}"
10302,잇프제갤 규칙,센츄리,None,"{'class': ['gall_date'], 'title': '2021-06-22 20:21:12'}"
11416,엔프피임 놀아드림,ㅇㅇ,(223.62),"{'class': ['gall_date'], 'title': '2021-07-23 20:33:50'}"
11415,일을 열심히 할수록,도지사,(121.187),"{'class': ['gall_date'], 'title': '2021-07-23 19:06:46'}"
11414,잇프제남들아 이상형 뭐야,ㅇㅇ,(121.170),"{'class': ['gall_date'], 'title': '2021-07-23 18:57:16'}"
11413,isfj 특),ㅇㅇ,(106.101),"{'class': ['gall_date'], 'title': '2021-07-23 18:37:07'}"
11412,잇프제 여자가 갑자기 변했어요,ddd,(221.149),"{'class': ['gall_date'], 'title': '2021-07-23 18:25:59'}"
11411,연예인의 피지컬이란,ㅇㅇ,(121.180),"{'class': ['gall_date'], 'title': '2021-07-23 17:58:43'}"
11408,잇프제짝남 선긋는건가 대답 추천 좀,ㅇㅇ,(118.36),"{'class': ['gall_date'], 'title': '2021-07-23 13:15:19'}"
11407,얘들아 미안해,ㅇㅇ,(119.204),"{'class': ['gall_date'], 'title': '2021-07-23 13:12:11'}"
11406,평소에는 상처받을 말은 피해서 하는데,ㅇㅇ,(121.169),"{'class': ['gall_date'], 'title': '2021-07-23 12:43:27'}"
11405,잇프제남 야한거 좋아하긴 할까?,ㅇㅇ,(223.39),"{'class': ['gall_date'], 'title': '2021-07-23 12:38:54'}"
11404,치과왔다,Gen.G.Life,None,"{'class': ['gall_date'], 'title': '2021-07-23 12:20:17'}"
11402,집돌이 레시피,ㅇㅇ,(180.229),"{'class': ['gall_date'], 'title': '2021-07-23 06:18:04'}"
11401,잇프제한테 그냥 물어볼까,ㅇㅇ,(39.7),"{'class': ['gall_date'], 'title': '2021-07-23 01:42:01'}"
11400,잇프제남이 나랑 같이 있을때,ㅇㅇ,(180.68),"{'class': ['gall_date'], 'title': '2021-07-23 01:37:20'}"
11399,연애 어디서해?,ㅇㅅㅇ,(182.209),"{'class': ['gall_date'], 'title': '2021-07-23 01:21:28'}"
11397,자기 속얘기 안 하면 병 나? ,ㅇㅇ,(39.7),"{'class': ['gall_date'], 'title': '2021-07-23 01:09:56'}"
11396,인스타 스토리 친한친구 돼있으면 은근 기분 좋지 않냐,ㅇㅇ,(125.180),"{'class': ['gall_date'], 'title': '2021-07-23 00:55:55'}"
11395,잇프제남들아,ㅇㅇ,(118.235),"{'class': ['gall_date'], 'title': '2021-07-23 00:36:56'}"
11394,ISFJ 여성분들...............,왈왈왈,None,"{'class': ['gall_date'], 'title': '2021-07-23 00:00:27'}"
11393,카페인 알코올 니코틴,ㅇㅇ,(223.39),"{'class': ['gall_date'], 'title': '2021-07-22 23:51:40'}"
11392,잇프제한테 밀당하면 어떻게 돼?,ㅇㅇ,(223.62),"{'class': ['gall_date'], 'title': '2021-07-22 23:19:35'}"
11391,오늘 좋아하는 사람이 자살했다는 소식 전해듣는 꿈을 꿨는데,ㅇㅇ,(175.223),"{'class': ['gall_date'], 'title': '2021-07-22 23:16:16'}"
11390,용기내서 선톡했다,ㅇㅇ,(14.7),"{'class': ['gall_date'], 'title': '2021-07-22 23:14:12'}"
11389,개화나네,ㅇㅇ,(211.184),"{'class': ['gall_date'], 'title': '2021-07-22 22:57:26'}"
11388,같은 sfj여도 다르구나,ㅇㅇ,(58.238),"{'class': ['gall_date'], 'title': '2021-07-22 22:55:32'}"
11387,왜 댓글 안 달아주냐 흥ㅡㅡ,ㅇㅇ,(218.155),"{'class': ['gall_date'], 'title': '2021-07-22 22:32:47'}"
11386,잇프제들이 얘기 잘들어준다는데,ㅇㅇ,(223.38),"{'class': ['gall_date'], 'title': '2021-07-22 22:26:35'}"
11385,전애인 프로필도 자주 봐?,ㅇㅇ,(218.155),"{'class': ['gall_date'], 'title': '2021-07-22 20:48:52'}"
11384,얘들아 나 한번만 도와줘,ㅇㅇ,(223.39),"{'class': ['gall_date'], 'title': '2021-07-22 20:38:52'}"
11383,ㅋㅋㅋ 나같다,ㅇㅇ,(110.70),"{'class': ['gall_date'], 'title': '2021-07-22 20:20:11'}"
11382,난 개념없는 잇프제인가봐,ㅇㅇ,(125.133),"{'class': ['gall_date'], 'title': '2021-07-22 20:17:04'}"
11380,너넨 좋아하는 사람 있으면 톡 프로필 자주 봐?,ㅇㅇ,(223.39),"{'class': ['gall_date'], 'title': '2021-07-22 19:19:08'}"
11379,너네 이거 테스트하면 뭐 나와?,ㅇㅇ,(222.103),"{'class': ['gall_date'], 'title': '2021-07-22 19:09:54'}"
11377,잇프제들아,도지사,(110.70),"{'class': ['gall_date'], 'title': '2021-07-22 17:56:48'}"
11376,I 9n퍼 나오는 잇프제들 있음?,ㅇㅇ,(69.209),"{'class': ['gall_date'], 'title': '2021-07-22 17:28:11'}"
11375,isfj 사회복지사 현직인 친구들 잇남?,ㄹㄹㄹ,(118.176),"{'class': ['gall_date'], 'title': '2021-07-22 16:53:55'}"
