number,content
1778,"
이제 연인임 ㅋㅋ루삥빵뽕  "
10301,"
1. 광고글 삭제2. 비추 10 넘은 글 삭제이것만 해 주시면 됩니다. 댓글로 잇프제갤에서 언제부터 활동하셨는지만 적어주세요. 자주 오시는 분들 위주로 드릴게요. "
10302,"
1. 광고, 스팸글 삭제2. 비추 10이상인 글 삭제 "
11416,"
ㅇㅇ 댓글컴온 "
11415,"
현타오는 이유는 뭘까??잇프제 동지들아 너희도 그러니..? "
11414,"
사바사라지만 잇프제 성격에 따른 공통되는 특징이 있을거 같아서.. 인팁은 유식한 사람 좋아하는거 되게 공통 되잖아 "
11413,"
""묵묵하게 열심히""  - dc official App "
11412,"
저는 우선 intj 남자고요여성분 처음  1-2달 동안은 그냥 인사치레만 하다가 3-4개월쯤엔 인사할 때 활짝 웃어주고, 서로 안부도 물으면서 먹을 것도 챙겨주시고 하셨는데최근 들어서는 만나면 눈을 옆 아래로 피하고 고개로 까닥 인사만 하고 그러네요말할 때 딱히 상처를 주거나 한 것 없고 받으면 고맙다. 해주고 인사도 먼저 해줬는데요즘 들어 좀 피하는거 같고 웃지도 않으니 저도 뭔가 적극적으로 할수 없어졌네요 당황스럽기도 하고요제가 집중할 때는 딴 곳을 신경 못 써서 마주칠 때 가끔 인사를 못 하거나 인상을 쓴 적은 있는 거 같은데 이것 때문은 아닐 거 같아요아무리 생각해도 이유가 생각이 안 나니까 직접적으로 서운한 거 있냐고 물어볼 수도 없고말해줄 것 같지도 않으니 답답함을 넘어서 제가 오히려 서운하기까지 합니다.저 한순간에 손절 당한건가요 조언 좀 부탁드릴게요.. "
11411,"
한 여름에도 숨겨지지 않는 것 "
11408,"
짝남한테 수학문제 푸는데 노래 추천해달라니까문제에 집중해야지 ㅇㅇ아.. 이러네 ㅎ  "
11407,"
그동안 내가 잇프제인줄 알았지만 그게 아닌것 같아잇프제를 페르소나로 사용한 느낌이야내 진짜 MBTI는 INTJ 또는 ISTJ 같아 고마워 "
11406,"
한번 화나면 상처받을 말만 골라서 하는듯  "
11405,"
뭔가 야동보고 스킨십하고 그런 모습이 상상 전혀 안돼 "
11404,"
입 안에 감각이 없어예전에는 진짜 못참았는데 이번에는 끝날때까지손 한번도 안들었다 ㅋㅋㅋㅋㅋㅋ- dc official App "
11402,"
 "
11401,"
나랑 연락하는거 귀찮냐고무섭긴한데내가너무 안쓰러우 "
11400,"
좋다고 함이렇게 같이 얘기하니까 좋다. 같이 통화하니까 좋다. 막 이런식으로서로 할 말 없으면 좋다이럼ㅋㅋㅋㅋㅋㅋㅋ무슨심리일까 귀여움근데 잇프제남이랑 있던 일들 근데 친구한테 얘기하니까 그정도 하는 남자 많다 진짜 마음은 모른다 혹시 모른다 이럼ㅠㅠ "
11399,"
본인 잇프제 여자연애하고 싶은데 소개팅해달라할 사람도 없고 해달라해도 눈치보이는거 같고ㅠㅠ 외롭다 흐엉엉.. "
11397,"
진짜 말그대로 병 날 수도 있어?? 자기 속 얘기 거의 안 하면.. "
11396,"
나만 그런가 ㅋㅋ "
11395,"
생일선물 머받고싶어?급식이고 유치원때부터 친구사실 이게 mbti로 갈리는 일인가 싶긴한데뭐 챙겨줄지 감도 안잡혀서그리고 궁금한거 있는데 12시 되자마자 1등으로 생일 축하해주면 많이 감동해? "
11394,"
헤어진 상대방은 ISFJ여자임헤어지고나서 내가 많이 붙잡음...희망회로 돌리기 싫어서 차단해달라고 부탁하면서 개또라이진상짓함..(나 정말 잘못한거 아니까 욕은 하지말아줘 ㅠ)소식을 정말 모르고 싶을만큼 너무 잊고싶은 간절한마음, 또 알아줬으면하는 마음, 등등 정말 안좋은 복합적인 감정에 프로필차단까지 해달라고 부탁했어근데 다 차단하는데, 프로필사진을 본인사진(이쁜사진)으로 해놓고 프로필차단은 안하는데 이거 왜이런거야꼴좋다 고생좀해봐라 이런거야?보통 차단할때 다 막아버리잖아 내가 차단하자니 또 풀고 볼거 뻔하고 "
11393,"
너넨 저 중에 뭐뭐 해?난 셋 다...ㅎ "
11392,"
그대로 밀려나? 아니면 애타?좀 썸느낌이긴한데 연락 나중에 하려구 "
11391,"
이상하게 막 슬프거나 그렇지 않더라 그런 밝은 사람이 대체 왜? 이런 고민만 하다가 깼음 가끔 엄마 죽는꿈 꾸면 울면서 일어나는데 이 사람한텐 그러지 않는거 보면 그렇게까지 좋아하지는 않는건가? 싶음... 왜 이럴까  "
11390,"
시원하다 후련하다  "
11389,"
오늘은 승질내로 왓어시발 야근해서 피곤하면 다냐왜 나한테 자기비하하고 짜증내냐고화낼 사람은 난데아니 매미잡는다길래 그걸 왜 잡냐고 시끄럽게 이야기한번 했다가 분위기 싸해지고 시발분명 집에잇을 시간인데 스피커 폰이라 말이라도 하든가 개짜증나말하기 싫다고 해서 피곤하데서 걍 자라니깐 진짜 쳐 자러가네누군 안피곤한가ㅡㅡ아 짜증나 여튼 오늘만큼은 잇프제 개싫어임 "
