number,content
11307,"
흠.. 사실 잘 모르겠다현재 남자친구 잇프제고 3년 만났어 매우 순하고 가정적이야남자친구는 초반 이후엔 엄청 연락 많이 해주는 편이고 애정표현도 많이해이전에 2개월 만났던 잇프제남은 운동 좋아했었는데 운동하거나 자기 할 일 있을땐 연락 텀이 좀 길었었어키우는 고양이 때문에 일 생겨서 연락 일주일 가량 연락 못한적도 있었고 분명 사귀는 사이는 맞긴한데 사귀는 듯 안사귀는 느낌?오히려 썸 탔을때가 더 연락 자주 했던거 같아...표본이 두개뿐이라 음... 내가 만난경우는 사바사 인거 같아너네는 어땟니?? "
11306,"
처리 해야될 일 리스트연락 온다 == 해야 할 일이 늘어남단톡 == 친구들 약속 잡는곳이런 생각 하고있는 애들은 답장 개느림얼굴 한번 보면 친한 사이인데 일주일 만에 연락받고 그럼^^걍 필요한거 있으면 전화때리는게 마음 편함 "
11305,"
연락중인 잇프제 있는데호감은 있어보이는데 먼저 만나자고 말을 안해원래 잇프제들은 호감 있어도 만나잔 말은 먼저 잘 안하는 편이야? "
11304,"
ISTJ는 진짜 다들 알다시피 계획과 섭리로만 이루어진 존재인데 T가 F로 바뀌면 ISFJ잖아ISTJ인데 감정적이면 ISFJ인 건가- dc official App "
11303,"
이틀에 한 번 꼴로 선톡주면서 답장은 왜 하루 넘게 안주고, 그러면서 매주 또 먼저 보자고 해주고, 심지어 전화도 먼저 걸고 말도 잘하면서...도대체 왜 이러는건데ㅜㅜ "
11301,"
말 많이해달라고 하고 이야기 많이 하고싶다고 한 거면 어느정도로 표현한거야? 진짜 표현적고 낯가림 심한 성격이야 내가 표현해도 부끄러워하기만해저 말을 할 정도면 그래도 많이 표현한거같은데 잇프제 나름으로는 "
11299,"
잇프제마다 케바케인가?내가 계획표 하나는 기가막히게 잘 짜는데 ㅋㅋㅋ막상 실천이 안됨 "
11298,"
가끔 로봇같기도 하고.. 예쁘다 귀엽다 내가 어쩌다 한번씩 해주는데, 살짝 뚝딱거리다가 표정관리 못하고 평소처럼 말하려고 하는 것도귀여웤ㅋㅋㅋㅋ표현을 잘 못하는 것 같지만, 너무 본인의 마음을 다 비추려고 하지 않으려는 느낌? "
11296,"
. "
11295,"
내가 좋아하는 ISFJ 남자가나에게 처음으로 ‘우리 XX’ 라고 불러줬다무의식중에 튀어나온 말이라 혼자 설레고 좋았다고..혼자 의미부여 해보는 중.. ^^ "
1778,"
이제 연인임 ㅋㅋ루삥빵뽕  "
11294,"
예쁘다 귀엽다 칭찬하고남자들이 진짜 좋아하겠다 칭찬하면서만나서 달달하게 엄청 챙겨주는데선톡, 선약 절대 안 잡음...내가 만나자 하면 나오기는 함근데 나 귀찮아하는 거 같아서 나도 못하겠음 더는 "
11292,"
Mbti도 갤러리가 있구나 ㅎ.ㅎ거의 댓글 안 달고 취미생활 갤러리 눈팅만 하다가호기심에 검색해봤는데 너무 반갑당!! 놀다갈게..♡ "
11289,
11288,"
잇프제가 들이대는게 좋다고 말한거면 호감있는거 맞아? 계속 직진달려 ?? "
11287,"
댜른 사람 사소한 장점은 잘 찾고 칭찬하면서자기어필 장점 말해보라고 하면 이 정도는 남들도 다 그렇지 않나?라고 생각ㅎㅏ고 평범한거라고 치부함 ㅋㅋ "
11286,"
본인 30살임.주변 천지인 키보드 쓰는 사람 거의 다 isfj istj임.ㅋㅋㅋㅋ 할 때' ㅋㅋㅋㄲㅋㄲ' 이런 ㄲ가 많음.또 'ᆢ '이것도많음다른유형은 다 쿼티고, 천지인 키보드 쓰는 사람 보려면40대 중반 까지 올라가야함 수고 "
11285,"
매력 없나 "
11283,"
이렇게이렇게말하면 상대가 불쾌해하겠지? 이런말은 쓰지말아야겠다..이러면서 나름대로의 선을 지켜가면서 이야기하는편이야? 아니면 어느정도 친해졌다생각하면 딱히 선없이 그냥 느낌대로 대하는편이야? "
11282,"
앞에 e붙은게 나올줄 알았는데 인프제가 나왔네. 인프제의 약간 스테레오타입같은 성격? 그런건 어떻게되니  - dc official App "
11280,"
너무 좋은 성격유형아님?본인 ESTP인데 뭔가 나의 성격적인 단점을 잘 보완해줄거 같아...롤로 표현하면 약간 레오나 느낌인가...? "
