number,title,writer,ip,date_dict
설문,한번 전화하면 안 끊을 것 같은 수다왕 스타는?,None,None,{'class': ['gall_date']}
4278,잇티제는 행복한 거냐?,ㅇㅇ,(222.236),"{'class': ['gall_date'], 'title': '2021-07-23 20:36:41'}"
4277,여행가기 2일 전,Guile,None,"{'class': ['gall_date'], 'title': '2021-07-23 20:20:50'}"
4276,난 디시 하는 여자 안만나,ㅇㅇ,(58.123),"{'class': ['gall_date'], 'title': '2021-07-23 19:48:10'}"
4275,잇티제의 유일한 약점 ㄹㅇ,ㅇㅇ,(117.111),"{'class': ['gall_date'], 'title': '2021-07-23 19:43:10'}"
4274,난 갠적으로 ISFJ랑 잘 맞음,ㅇㅇ,(14.138),"{'class': ['gall_date'], 'title': '2021-07-23 19:25:11'}"
4273,estp 엣팁 좋아하는 잇티제 있냐,ㅇㅇ,(125.129),"{'class': ['gall_date'], 'title': '2021-07-23 18:54:39'}"
4272,istj도,ㅇㅇ,None,"{'class': ['gall_date'], 'title': '2021-07-23 18:51:13'}"
4270,과한 친절 베푸는 사람 너무 싫어,ㅇㅇ,(211.36),"{'class': ['gall_date'], 'title': '2021-07-23 17:10:17'}"
4268,사귀는 여자가,ㅇㅇ,(220.116),"{'class': ['gall_date'], 'title': '2021-07-23 14:58:11'}"
4267,너네도 더위 잘 안타?,FISH,None,"{'class': ['gall_date'], 'title': '2021-07-23 13:47:02'}"
4266,좋아하는 사람이,재간,(124.111),"{'class': ['gall_date'], 'title': '2021-07-23 11:37:36'}"
4265,엄마아빠 결혼생활 고찰해봄,ㅇㅇ,(223.62),"{'class': ['gall_date'], 'title': '2021-07-23 11:04:36'}"
4264,나 사는 거 보니 성격유형은 믿게 된다,ㅇㅇ,(106.101),"{'class': ['gall_date'], 'title': '2021-07-23 10:08:32'}"
4263,주식하는 애들 있어? ,Istj,(222.109),"{'class': ['gall_date'], 'title': '2021-07-23 09:10:33'}"
4262,잇티제 갤에 잇티제들이 쓴 글이 없는 이유는 아마도..,ㅇㅇ,(211.187),"{'class': ['gall_date'], 'title': '2021-07-23 09:01:52'}"
4260,안녕 얘들아 나 esfp야 ,ㅇㅇ,(123.254),"{'class': ['gall_date'], 'title': '2021-07-23 04:56:10'}"
4259,스스로 mbti 테스트를 하면 정확률이 떨어질 수 있음 ,Istj,(222.109),"{'class': ['gall_date'], 'title': '2021-07-23 03:18:56'}"
4258,답정너 진짜 줘 패버리고싶다,뉴우비.,None,"{'class': ['gall_date'], 'title': '2021-07-23 01:42:30'}"
4256,궁금한 게 있어요 ,ㅇㅇ,(121.161),"{'class': ['gall_date'], 'title': '2021-07-23 00:33:44'}"
4255,너네 돈 빌려주는거 잘 빌려주냐?,ㅇㅇ,(58.123),"{'class': ['gall_date'], 'title': '2021-07-23 00:10:35'}"
4254,근데 ㄹㅇ istj는 잘 맞는 유형이 있는 듯,ㅇㅇ,None,"{'class': ['gall_date'], 'title': '2021-07-23 00:02:20'}"
4253,잇티제 괴롭히기 후기,ㅇㅇ,(182.225),"{'class': ['gall_date'], 'title': '2021-07-22 23:02:45'}"
4252,잇티제갤 특징,ㅇㅇ,(222.236),"{'class': ['gall_date'], 'title': '2021-07-22 21:28:28'}"
4250,슬픈 영화 볼 때,.,(221.143),"{'class': ['gall_date'], 'title': '2021-07-22 18:43:18'}"
4248,되고싶은 유형이 있다면 ISTJ,ㅇㅇ,(118.235),"{'class': ['gall_date'], 'title': '2021-07-22 18:12:06'}"
4246,"잇티제 남 인데, 여러건의 소개팅 결과 esfp여자분과 가장 행복했던거같",잇티제남,(175.193),"{'class': ['gall_date'], 'title': '2021-07-22 15:45:42'}"
4245,오늘은 잇티제 괴롭히면서,ㅇㅇ,(223.38),"{'class': ['gall_date'], 'title': '2021-07-22 12:33:06'}"
4243,남자 잇티제들아 너흰 어떠냐? 밥약 관련,ㅇㅇ,(210.204),"{'class': ['gall_date'], 'title': '2021-07-22 09:36:22'}"
4241,다른 잇티제들도 먼저 연락안해?,ㅇㅇ,(119.69),"{'class': ['gall_date'], 'title': '2021-07-22 05:36:40'}"
4239,너넨 보통 짝사랑하면 최대 얼마까지 가봤냐,ㅎㅇ,(115.137),"{'class': ['gall_date'], 'title': '2021-07-22 02:16:42'}"
4238,나는 왜 내가 힘든 걸 남에게 말하지 못할까,ㅇㅇ,(220.82),"{'class': ['gall_date'], 'title': '2021-07-22 00:09:57'}"
4237,연인한테 언제 좋아한다고 말함?,ㅇㅇ,(117.111),"{'class': ['gall_date'], 'title': '2021-07-22 00:01:35'}"
4234,isfp에요 제일존경하는분이 istj라 놀러와봣어요,멍멍,(223.38),"{'class': ['gall_date'], 'title': '2021-07-21 22:57:17'}"
4231,너네 오늘 무슨날인지 알고 갤질하냐?,ㅇㅇ,None,"{'class': ['gall_date'], 'title': '2021-07-21 15:31:41'}"
4230,오늘도 잇티제 괴롭힐 예정,ㅇㅇ,(223.38),"{'class': ['gall_date'], 'title': '2021-07-21 15:10:58'}"
4229,평생 한 사람만 사랑할 수 있다고 생각함? ,ㅇㅇ,(222.109),"{'class': ['gall_date'], 'title': '2021-07-21 13:38:52'}"
4228,ISTJ가 좋아하는 짤,ㅇㅇ,(221.167),"{'class': ['gall_date'], 'title': '2021-07-21 10:21:45'}"
4227,너희들 수면습관 노하우나 영양제 뭐 먹음?,Guile,None,"{'class': ['gall_date'], 'title': '2021-07-21 09:13:17'}"
4226,Mbti별 호감도 확인법이라는데 너네 공감하냐?,ㅇㅇ,(223.33),"{'class': ['gall_date'], 'title': '2021-07-21 08:21:22'}"
4225,잇티제들아 왜이렇게 tmi가 심하냐,사이,None,"{'class': ['gall_date'], 'title': '2021-07-21 08:03:12'}"
4224,애정표현이나 칭찬 들으면 좋은데 반응을 못해주겠어,ㅇㅇ,(203.226),"{'class': ['gall_date'], 'title': '2021-07-21 05:43:35'}"
4223,쿼티 키보드로 바꿔보았음,ㅇㅇ,(223.33),"{'class': ['gall_date'], 'title': '2021-07-20 22:36:36'}"
4222,천지인 안쓴다는 얘기보고 놀람,ㅇㅇ,(223.62),"{'class': ['gall_date'], 'title': '2021-07-20 21:32:16'}"
4221,군대랑 성격이 안맞는다,ㅇㅇ,(211.36),"{'class': ['gall_date'], 'title': '2021-07-20 20:47:08'}"
4220,잇티제 남자들 취미가 어떻게 돼? ,ㅇㅇ,(223.62),"{'class': ['gall_date'], 'title': '2021-07-20 16:07:32'}"
4219,잇티제 결벽증 심하냐?,ㅇㅇ,(125.176),"{'class': ['gall_date'], 'title': '2021-07-20 15:46:13'}"
4218,30살인데 폰 천지인 키보드 쓰는 사람 특,ㅇㅇ,(39.7),"{'class': ['gall_date'], 'title': '2021-07-20 14:59:30'}"
4217,ㅎㅇ 나 엔팁임,Entp-1,(211.36),"{'class': ['gall_date'], 'title': '2021-07-20 14:47:48'}"
4216,사람을 볼 때 네 가지 영역에서 판단해야 한다고 생각함,ㅇㅇ,(112.172),"{'class': ['gall_date'], 'title': '2021-07-20 14:10:49'}"
4215,내 이상형,ㅇㅇ,None,"{'class': ['gall_date'], 'title': '2021-07-20 11:10:50'}"
설문,한번 전화하면 안 끊을 것 같은 수다왕 스타는?,None,None,{'class': ['gall_date']}
4213,오늘도 잇티제 괴롭힐 예정,ㅇㅇ,(223.38),"{'class': ['gall_date'], 'title': '2021-07-20 09:29:51'}"
4212,너네 오늘 무슨날인지 알고 갤질하냐?,ㅇㅇ,None,"{'class': ['gall_date'], 'title': '2021-07-20 08:43:17'}"
4210,그래도 대학 와서 좀 변한듯,ㅇㅇ,(58.235),"{'class': ['gall_date'], 'title': '2021-07-20 04:58:06'}"
4209,짝녀가 잇티젠데 이거 관심없는거맞지?,ㅇㅇ,(116.44),"{'class': ['gall_date'], 'title': '2021-07-20 04:37:33'}"
4208,욕 잘함?,ㅇㅇ,(14.44),"{'class': ['gall_date'], 'title': '2021-07-20 02:38:43'}"
4207,오늘의 일탈,ㅇㅇ,(38.111),"{'class': ['gall_date'], 'title': '2021-07-20 01:55:31'}"
4205,혼술좋아함?,ㅇㅇ,(175.223),"{'class': ['gall_date'], 'title': '2021-07-20 00:50:04'}"
4203,너네 오늘 무슨날인지 알고 갤질하냐?,ㅇㅇ,None,"{'class': ['gall_date'], 'title': '2021-07-19 21:36:03'}"
4202,버스 타면 항상 같은 자리에 앉고 싶음,FISH,None,"{'class': ['gall_date'], 'title': '2021-07-19 21:35:40'}"
4201,오늘부터 에어컨 가동하려고,FISH,None,"{'class': ['gall_date'], 'title': '2021-07-19 19:22:54'}"
4199,잇티제 여자친구,ㅇㅇ,None,"{'class': ['gall_date'], 'title': '2021-07-19 17:47:00'}"
4198,오늘 잇티제 괴롭힐예정,ㅇㅇ,(223.38),"{'class': ['gall_date'], 'title': '2021-07-19 16:49:31'}"
4197,ENTP 개싫다,ㅇㅇ,(211.36),"{'class': ['gall_date'], 'title': '2021-07-19 15:43:15'}"
4196,오늘따라 집중이 안되서 노래 추천하고 감,Guile,None,"{'class': ['gall_date'], 'title': '2021-07-19 15:04:48'}"
4194,인티제 잇티제 번갈아나오는 인티제인데,ㅇㅇ,None,"{'class': ['gall_date'], 'title': '2021-07-19 13:29:07'}"
4193,이게 성추행인가.,ㅇㅇ,(220.82),"{'class': ['gall_date'], 'title': '2021-07-19 10:44:55'}"
4192,여기 외향내향 반반충은 없니?,Guile,None,"{'class': ['gall_date'], 'title': '2021-07-19 10:33:33'}"
4191,세상이 생각보다 합리적이거나 이성적으로 돌아가지 않는거 아냐,ㅇㅇ,(222.109),"{'class': ['gall_date'], 'title': '2021-07-19 01:52:15'}"
4190,ISTJ끼리는 보통 잘 맞음?,ㅇㅇ,(14.63),"{'class': ['gall_date'], 'title': '2021-07-19 01:17:23'}"
4189,애인 맨날 보고 싶지 않음?,ㅇㅇ,(110.12),"{'class': ['gall_date'], 'title': '2021-07-18 22:16:57'}"
4188,매일 다른 옷을 입는 이유가 뭐야?,ㅇㅇ,(112.172),"{'class': ['gall_date'], 'title': '2021-07-18 21:48:06'}"
