number,content
설문,
4278,"
?- dc official App "
4277,"
스트레스 MAX 이 시국에 왜 나여야했니 취소할 수도 없구..  "
4276,"
Mbti갤러리 하는 여자는 이해하는데헬스, 국내야구, 해외축구,게임 하는 여친이라면 바로 헤어짐왜냐 내가 헬갤 하니까 ㅎㅎ "
4275,"
사랑 앞에선 어떤 계획도 설계도 통하지 않음사랑 앞에선 FP가 돼버릴까 싶은 유형 잇티제- dc official App "
4274,"
그녀들의 특유의 따스함?이 좋음ㅋㅋ "
4273,"
궁금쓰엣팁 어때 "
4272,
4270,"
택배남들 간식 챙겨주는 스타일기본만 하는 사람을 싸가지없고 정없는 인간 만들 "
4268,"
사귀는 여자가 Istj인데 아 참고로 본인은 enfj! 진짜 만날때마다 애교 부리고 하는데 이 갤와서 원래 istj애교 잘 못부린다는거 첨 알음 그래서 내가 여친한테 다른데서는 애교 잘 못부리냐고 하니까 오빠한테만 애교부리는거라고 하는데 ㄹㅇ 감동받음 ㅠㅠ 이 갤 알게되서 여친에 대해 더 알아가는거 같아서 넘 좋다 ㄹㅇ "
4267,"
엄청 더워서 땀은 줄줄 흐르는데이 상황이 짜증으로 넘어가진 않아그냥 아 오늘 개덥네 이러고 끝 ㅋ ㅋ집 가서 씻고싶다 라는 상각부터 든다출근길에 더위에 극도로 예민한 사람 봤는데이러기도 하는구나 싶어서 글 씀 "
4266,"
좋아하는 사람이 ISTJ여서 ISTJ 사람이 다 좋아진거 같아 "
4265,"
아빠는 istj 엄마는 infp 아빠는 엄청 머리좋고 학벌좋고 능력있고 사회적 지위 높고 책임감 쩔어서 내가 학창시절 성적 떨어지니까 사교육 없이 직접 전과목 가르치시고 군대식으로 통제해서 인서울 상위권 진학시키실 정도 엄마는 무심 태평 그 자체에 일에 대한 우선순위를 잘 못세우시는 편 예를 들어 전업주부이시면 다른 일이나 공부나 취미가 하고싶으셔도 일단은 가사와 육아를 1순위로 해결하시고 남는시간에 다른 일을 하셔야 하는데 한번은 딴거하시다가 아빠 퇴근시간에 맞춰서 저녁밥 준비를 안해놓으셔서 옆집 친구네에서 급하게 밥 빌려오심 (이때 솔직히 존나 쪽팔려서 한동안 친구네가족 피해다녔음. 근데 엄마는 태평하게 잘 지내심) 두분 결혼하고 1년후에 나 낳으셨는데 어릴때부터 부모님에 대한 기억은 피터지게 싸우시던 기억밖에 없음 정확히 말하면 아빠가 엄마한테 고래고래 소리지르고 엄마는 아빠가 얼마나 빡쳤든 말든 어디서 개가 짖나 하고 무시하시는 패턴 20년동안 이러시다가 아빠는 아무리 당신이 목청 찢어져라 고함지르면서 화내도 엄마는 절대 변하지 않는다는거 깨달으시고 어느정도 체념하신 상태 물론 아빠도 단점 있고 엄마도 장점 있음 아빠는 극 stj라서 과업, 현실파악, 상황판단력은 대한민국 평균보다 높으시지만 감정적인 부분에서는 좀 심하게 상식이하이심 이거 최근에 깨달음 이거 느끼게된 계기가 있는데 여기다 쓰기엔 좀 반사회적 범죄수준이라 못쓰겠음 아마 t인 사람들만 모아서 이큐지수 평균내봐도 아빠 이큐보단 높을거같음 이런 아빠의 단점을 엄마의 f성향이 어느정도 커버를 해줌 ​ ​엄마의 또다른 장점은 자존감이 엄청 높으시다는 거임 ​당신의 있는 그대로의 모습을 받아들이시고 스스로를 사랑할줄 아시며 부정적인 생각같은거 거의 안하심 ​현실이 개차반이어도 긍정적으로 이겨나갈 수 있다는 확신이 있음  그냥 소소하게 ​만족할줄 아시고 딱히 기죽어있는 성격도 아님 ​ ​특히 모험을 즐기심 ​예를 들어 지도만 들여다보거나 늘 가던 길로만 가는 아빠랑은 달리  ​엄마는 지도 없이 새로운 길로도 가볼까? 어 이런곳도 있네? 모험 씐난다 하시는 스타일   ​이 점 때문에 극 안전지향 추구스타일인 아빠랑 또 피터지게 싸우심 그렇다고 엄마가 공감을 잘하시는건 아님ㅋㅋㅋㅋㅋㅋㅋ 내가 힘든일 있어서 공감해달라고 엄마한테 찡찡거리면 엄마는 존나 얄미운 t들처럼 ""그럴땐 이러이렇게 하면 되잖아?""라고 말하고 공감안해주심ㅋㅋㅋㅋㅋ 내가 진짜 몇날몇일을 울부짖으며 힘든 티를 내야지 그제서야 우리딸 많이 힘들었구나 하고 공감해주심ㅋㅋㅋㅋㅋ 암튼 난 부모님 결혼생활 보면서 아빠의 장단점과 엄마의 장단점이 나름 보완기능을 잘 하고 있다고 생각하는데 다만 엄마가 일에대한 우선순위는 좀 제대로 하셨으면 정말 이상적인 부부가 되셨을텐데 하는 아쉬움이 있음 어떤 상황에서든 본분이 먼저고 사적인 일은 나중으로 미루셔야 하는데 엄마는 약간 집안일 보람없고 싫다고 자격증 공부하거나 취미통기타반 등록하셨다가 아빠한테 깨지는 스타일 ​  "
4264,"
istj 남자임 요즘 성격유형에 관심이 생겨서 갤 뒤지니까  너희 진짜 나랑 사는 게 거의 비슷하구나  인생을 진짜 기계마냥 산다  급식 때는 하라는 공부 하고 롤이나 간간히 하고  대학와서는 남들 다 놀 때 새내기때부터 학점관리해서 4.초반대로 유지하고  군대 무난하게 갔다와서 복학하고 또 학점관리나 하고 지금 조기취업 나와서 일하고 있는데  시발 나도 내 인생이 노잼이고 사람이 노잼인 걸 알면서도 이렇게 살게 된다  연애는 안 해봤을 것 같지만 해보긴 해봄 1학년 때 친구 생파라고 술집 갔다가 번호 따여서 사귀다가 내가 씹노잼이라 차임 사실상 모쏠아다  istj는 노잼 아싸가 맞다 ㅋㅋ   - dc official App "
4263,"
일단 나 ㅋㅋㅋㅋ빨리 장 열려라~~~ "
4262,"
나도 그런데갑자기 생각나서 글을 막 쓰다가도문득 아 귀찮네 내가 왜 여기다 시간을 쓰고 있지?하고 현타가 갑자기 와서 글 쓰던 창 꺼버림.그래서 댓글 쓰는 걸로 만족하는 듯ㅋㅋ "
4260,"
너네는 esfp 어케 생각해? 자세히 말해줘내 주위에 istj가 한명두 없어서 놀러와봤다!!!! "
4259,"
이라는 제목에 동의하니? 내 주변 어떤 Entj가 그러더라 엠비티아이 테스트는 자기 객관화가 제대로 안되어 있는 상태에서 할 확률이 높고 대개 자신의 이상적인 선택지를 따라가기 때문에 정확도가 낮다는거야. 그래서 타인이 대신 해주는게 더 정확하대. 너네들의 생각은 어때?  "
4258,"
후... "
4256,"
얼굴만 알고 얘기는 깊게 안 해본 istj 오빠가 있는데 가끔 팩폭섞인 농담을 던짐 나는 친하다고 생각 안해서 조금 상처 입는데 왜 그러는걸까 ? 보통 istj들은 안 친하다고 생각되면 장난도 안 친다는데 날 편하게 생각하는건가?? "
4255,"
난 솔직히 만원도 빌려주는거 싫어함 차라리 만나서 만원짜리 밥 사주거나 술 사주는건 상관 없는데 일주일 뒤에 만원 줄게 만원만 빌려줘 하는건 싫어함 꼭 만원단위는 까먹는 애들은 다반사고 내가 말해야 줌 그래서 서로간의 신뢰도 깨지고 감정만 상하는거 같음그래서 돈 빌려주는거 별로 안좋아하고 그리고 진짜 신뢰감 있고 갚을만한 친구한테만 빌려줌 지금까지 최고 액수가 5만원 까지 빌려줘봄 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ너네는 돈 빌려주는거 좋아하냐  "
4254,"
esfp랑 너무 잘 맞음istj인데 다른 유형 생각하고 들어왔으면 esfp 친구 꼭 사귀어 봐진짜 mbti 상관없이 인성 파탄난 애 아니면 무조건 잘 맞음그리고 -nt-랑 안 맞음 "
4253,"
집에 가서 이리저리 둘러보고있는데무슨 이상한 꿍꿍이냐고 갑자기 물어봄깜짝놀라서 물어봤더니 얼굴에 장난치고싶다고 써있다고하네;;;ㅋㅋ그래서 그냥 솔직하게 털어놓고 궁금한거 다 물어봄이런식으로 대화함Q. ISTJ라고 비슷한 성향이 모인 사람들이 있는데 알고있나요?A. 잘 모르고 그런게 있을리 없다.Q. 사람들이 말하길 이러이러한 일들을 싫어한다고 해서 했는데 맞나요?A. ....... 어느정도 맞는지도....Q. 최근에 괴롭히고싶어서 여러가지 연구한건데 알고 있었나요?A. 자세한건 잘 몰랐지만 무언가에 대해 잘 알아보고 연구하는 자세는 아주 좋습니다. !!!!!Q. 괴롭힘 당하는 일인데도요..?A. 원래 장난을 자주 치는것도 알고 있으며 나는 그정도에 화내지 않는 사람이다.Q. 혹시 자주 하면 등에 칼을 꽂거나 손절을 하실건가요..?A. 그런 짓은 하면 안 된다. 감옥에 갈 수도 있다.Q. ISTJ라는 성격 유형이 있다는걸 이제는 알겠나요?A. 잘은 모르지만 다들 아주 훌륭한 사람들일 것결론은 나는 괴롭힌다고 생각했는데 전혀 통하지 않고 있었다그리고 연구하는 자세가 좋다고 생각하는것도 아주아주 놀라웠음매일매일 좋은걸 많이 가르쳐줘서 나도 아주 좋음그리고 잇붕이들 화나게해서 미안해 사과할게아 그리고 손절 생각안하고 자꾸 장난친건 10년동안 만난 사이라서 더 편하게 굴었나봐너무 화가 많이 난 친구들 정말 미안해 좋은말해줘서 고마워 좋ㄹ은밤보내 "
4252,"
일반인 : 잇티제갤이면 잇티제인 사람들이 모여서 얘기를 나누는 곳이구나현실 : 잇티제 글 1% + 타 유형 글 99%+ 타 유형 글 보면 전부 잇티제에 대해 궁금하거나 잇티제 칭찬하거나 가끔 비난하는 글인데 다들 잇티제에 대해 잘 모른다는 건 그만큼 잇티제가 베일에 감춰진 성격이라 그런 듯ㅋㅋㅋ- dc official App "
4250,"
잇티제들은 슬픈 영화 볼 때 어떰? 난 영화 볼 때 안 운 적이 거의 없어서 F인줄 알았는데 일상에서는 T에 훨씬 가까움 나처럼 감수성 풍부한 잇티제 있니?? "
4248,"
일에 열정있고 보이지 않는 곳에서도 묵묵히 최선을 다하고 외부 스트레스에 대해서도 강인하고 금방 일어나고 주어진 책임을 다하고 불평불만 늘어놓지 않는 우리아버지 같은 유형이라 더 그런가보다 참고로난 infj  - dc official App "
4246,"
퍼즐마냥 서로 완전 다르지만, 잘 맞는다고 해야하나? "
4245,"
그동안 괴롭힌 내용들과 잇티제 갤러리라는거에서 괴롭힐방법들을 연구했다고 말할예정 그리고 오늘의 괴롭힘은 물건숨기기임 잇티제네 집 가면 엄청 각잡히게 깨끗한건 아님 근데 자기가 자주 쓰는 물건은 늘 제자리에 두는거에 집착하는거같음 예를들면 뭐 귀이개 손톱깎이 이런거나 C타입충전기 콘센트자리 5핀충전기 자리 이런게 정해져있음 내가 물건 옮기면 조용히 제자리로 돌려놓음 그래서 거기 가서 어지르고 물건 숨겨둘것임ㅋㅋ  "
