number,content
3145,"
안녕하세요ㅠㅠ조아하는 사람이 잇티제인데요 ㅠㅠ 학생인데 둘다 칼답이고 자기얘기도 많이 하고 제가 할말 없게 만들어도 다시 선톡 잘 오구요 근데 가끔씩 단답이거나 욕을 해요ㅠㅠ 관심없는 건가요ㅠㅠ  "
3144,"
글 하나하나 다 재미있고 내스탈인데 얼마 안 올라와서 아쉬워ㅋㅋ 잇티제들 대거 유입 됐으면 좋겠다..  - dc official App "
3142,"
아무 이유없이 마음 식은 여친 (실제로 마지막에 울면서 미안하다고 함. 내가 너무 잘해주기만 했는데, 자기 마음이 식어가는게 너무 미안했대.)헤어지고 나서 후련하다고 느끼겠지? 나와의 연애가 부담이고 스트레스 였을테니까.한번쯤 후회해줬으면 좋겠다... 나한테 연락하지 않아도 그냥 나를 그때 놓지말걸 하고 후회하는거분명 둘다 오래 사랑했는데 나만 남은거같아서 그게 너무 섭섭하고 힘들다...내 매력이 문제였을까 자괴감만 드네 "
3141,"
좌측 상단: 휴지통두번째: 폴더류세번째: 오피스나머지: 기타 프로그램 "
3140,"
그럴수 있는거임? "
3139,"
1. 도서관 2. 독서실 3. 스터디카페 3. 카페 4. 집 난 주로 집  "
3137,"
 궁금함ㅋㅋㅋㅋㅋㅋ그리고 다들 결혼하긴 할거야? "
3136,"
내가 비록 지금 밥도 귀찮아서 안먹고 화장실가는것도 귀찮은 상태로 침대에 가만히 누워있긴 하지만 게으르다는건 잘 안움직이거나 움직이기 귀찮아 하는게 아니라 계획이나 목표를 세워놓고 그걸 미루는게 게으른것이다 생각한다 내가 할일을 다 끝냇다면 10시간을 누워잇고 20시간을 누워잇어도 게으른게아니다  "
3135,"
 "
3133,"
안녕하세요  저는 어릴때부터 무언가 무기력 했어요  어릴때부터 쳐맞고 살아온 환경도 아빠가 3명이였던 가정환경 탓도 있었고  16살때부터 자취를 했습니다. 부모 두분다 따로 가정이 있어서 재가 먼져 달에 50만 달라고 알아서 살겠다 했어요  친구들은 많았습니다 먼져 연락을 안하고  연락을 해도 같이 학교 외에는어울리지 않았고  가끔 학교끝나고 친구나 이성들과 밥을 먹거나해도  제가 그들을 밀어낸다는 사실을 알고 멀어졌어요 그래서 아무것도 안하고 흘러가는데로 살았습니다. 수많은 기회가 있었고 수많은 인연이 있었지만 저는 그것들을 외면하면서 살아왔어요  결국 공부도 무엇도 아무것도 하지않았어요 차라리 남들처럼 이성이랑 신명나게 놀았거나 방구석에서 게임만 하거나 자기 취미즐겼으면 상관없는데 심지어는 컴퓨터게임조차 안했습니다. 술도 마시지 않고 담배도 피지않아요 저는 공상에만 빠지고  어떤 노력도 최소한 인생의 재미도 없이  평생 무기력하게 잠만자고 망상에 빠지며 살아왔습니다. 어떻게 보면 삶에 애착이 크게 없었어요 그렇게 군대를 전역하고  현재 친구도 인연도 무엇도 없는 24살이 되었어요  정말로 단 한명도 없습니다 카톡도 안깔려있어요  17살때부터 군대가기전까지  매일 아르바이트를 해서 금전적으로 여유가 있습니다. 누구와도 심지어 부모와도 인연을 맺지 않았어요  연락 안한지는 벌써 6년차네요  크게 외로움을 느끼나 불행하지는 않았는데 유튜브를 보며 친구끼리 부대끼는 사람이나  20살의 나이에 이성을 만나고 놀고  그것이 아니면 자기 길을 찾아 노력하는 사람들  남들이 병신이라 놀리는 겜돌이 인생도 창놈 창녀라 불리는 클럽이랑 헌포에 미치는 인생도  못생겨서 공부만 하는 그런 인생도  너무나도 부럽더라고요  나의 젊음과 청춘을 뒤돌아 본순간  아무것도 없었구나 인연도 추억도 재미도  너무나도 공허하고 비참해서 어쩔줄 모르겠습니다. 하지만 저는 이미 너무 늦었다는 생각에  무언가를 손에 쥐고 있어도 안타까움만 듭니다. 정말로 후회되요  관계를 이유없이 멀게한것도  나태하지 않는 성격임에도 무엇조차 하지않은것도 너무 후회스럽고  너무 외롭습니다 이러다가 미칠거같아서  요즘은 하루에 13시간가량을 책을 읽어요  소설이든  지적교양을 주는 책이든 닥치는 데로 읽습니다. 무엇을 할라고 몰입을 할라해도  중학교 1학년부터 24살까지 내가 버린 10년이라는 세월이  너무나도 크게 다가와서 몰입하는 마음을 부수고  저라는 사람을 포기하고 싶어지게 합니다. 진심으로 너무 공허하고 아파요  도와주세요  어떤 조언이라도 좋아요  듣고싶어요 어떻게 해야할지  "
3132,"
게시글 글 남길 때도 문맥,맞춤법 지킬려고 노력하고 어떤 글을 남겨야 공감을 형성할 수 있을까 고민하다가 현타오고 이러고 있는 내가 한심해서 그냥 다 지우고 다른거 함 "
3130,"
라는 말 들으면 무슨 생각 들어? "
3129,"
가까워질수록 상대방들이 나에게 뭔가 특별대우?해주길 기대하는게 보여서 스트레스 받음.난 평소랑 똑같이 행동하는데 본인들이 더 기대를해서 내 행동에 서운해하는 것도 짜증남.무슨 연인관계도아니고 빡치게 친구관계에 노력과 책임감을 요구하려고 하는지ㅡㅡ그리고 그렇게 서운하면 그냥 손절하면되지 왜 계속 말걸고 귀찮게해 개빡치게 "
3128,"
물론 케바케겠지만 이 짤에선 그렇다는데 난 ENFP여서 말 많고 나대는 타입인데..;;ㅠㅠ 너넨 ENFP에 대해 어떻게 생각해?? 괜찮아??  - dc official App "
3127,"
보통 우리나라에서 mbti 테스트라고 한다면 공짜로 해주는 16personailties잖슴근데 이 테스트 비율은 istj가 12위고 1등은 infp더라ㅋㅋㅋㅋ아무래도 이거 하는 사람은 10~20대가 많을테니 젊은 세대에서는 istj가 좀 적은가봐아니면 인프피들이 이런거 좋아해서 유독 많이 하는 걸 수도 있고... 우리나라 istj 비율이 높다길래 실감 못했었는데 그 이유를 알것같기도 함 "
3125,"
얼굴 안보고 얘기해서 생길 수 있는 사소한 오해 같은게 넘 싫어 "
3124,"
제곧내. 아무리 익명이라고 한들 구체적인 내용은 쓰기 두려워서 못쓰겠고 그냥 너무 안맞는 친구 A가 있음. 서로 공통점이 없어. 너무 안맞아서 스트레스인데 얘를 그냥 손절 할 수도 없는 관계야. 이럴때는 어떻게 해야 할 지 조언 좀 해줘.  "
3123,"
난 남들한테 일제외하고 사적으로 연락하고 친해지긴 불편한 유형인듯  "
