number,title,writer,ip,date_dict
설문,한번 전화하면 안 끊을 것 같은 수다왕 스타는?,None,None,{'class': ['gall_date']}
37491,저 정신병자 카톡 주작꾼새끼 또왔네,연한아이스커피,None,"{'class': ['gall_date'], 'title': '2021-07-12 15:43:19'}"
37490,일상 애교 많은데 t인 사람중에,ㅇㅇ,(112.148),"{'class': ['gall_date'], 'title': '2021-07-12 15:29:01'}"
37489,무슨 성격이랑 제일 상극이냐 ,ㅇㅇ,(211.63),"{'class': ['gall_date'], 'title': '2021-07-12 15:19:43'}"
37488,다이소에 이거 있나?,ㅇㅇ,(1.254),"{'class': ['gall_date'], 'title': '2021-07-12 15:05:19'}"
37487,스터디 카페 다닐만함?,istp,None,"{'class': ['gall_date'], 'title': '2021-07-12 12:57:16'}"
37485,태연은 nf아니고 sf인데,ㅇㅇ,(39.7),"{'class': ['gall_date'], 'title': '2021-07-12 12:45:12'}"
37484,학교 수시 끝났는데 도를 넘게 시끄러움,istp,(211.36),"{'class': ['gall_date'], 'title': '2021-07-12 12:41:50'}"
37483,너네 선택장애 별로 없음?,ㅇㅇ,(58.122),"{'class': ['gall_date'], 'title': '2021-07-12 12:00:22'}"
37482,너희들은 어떤일을 하던도중 실수했으면,ㅇㅇ,(110.15),"{'class': ['gall_date'], 'title': '2021-07-12 11:57:31'}"
37481,"ISTP, ISFP 헷갈리는데 뭘까?",ㅇㅇ,(119.65),"{'class': ['gall_date'], 'title': '2021-07-12 11:29:41'}"
37480,난 데이트 한 번 하고 헤어진 적 있다,ㅇㅇ,None,"{'class': ['gall_date'], 'title': '2021-07-12 11:28:17'}"
37479,원래 화를 잘 표출안하고 화가잘 안나는타입이었는데 운전하면서 바뀜,ㅇㅇ,(58.122),"{'class': ['gall_date'], 'title': '2021-07-12 11:24:31'}"
37476,씨발좆같은안생,ㅇㅇ,(14.32),"{'class': ['gall_date'], 'title': '2021-07-12 10:37:42'}"
37475,너네도 혼잣말 많이하니,ㅇㅇ,(222.232),"{'class': ['gall_date'], 'title': '2021-07-12 10:35:47'}"
37474,연애씨발 걍 살았더니 연락 잘 안 한다고 차이고,NAKED,None,"{'class': ['gall_date'], 'title': '2021-07-12 10:21:51'}"
37473,궁금한게,ㅇㅇ,(223.62),"{'class': ['gall_date'], 'title': '2021-07-12 10:05:12'}"
37470,애옹,웨옹,None,"{'class': ['gall_date'], 'title': '2021-07-12 09:39:20'}"
