number,content
설문,
37491,"
아이피 바꾸는 정성도 없네  "
37490,"
그게 진짜 성격인 경우는 거의 없는듯.. 다 만들어낸 애교Entp 같은 성격이 제일 소름 비정상회담 한예슬편 보고 성격 참 귀엽다 생각했는데 요즘은 그닥근데 제니는 좋음 "
37489,"
mbti도 좋고 묘사해도 좋아나는반에 꼭 하나씩 눈치없이 지들 무리랑 큰 소리로 떠들고 민폐끼치고, 수학여행 가면 꼭 단독행동으로 20분씩 지각해서 애들 기다리게 만드는 캐릭터ㅅㅂ... 자기딴에는 푼수같고 밝은 성격이 아이덴티티인 줄 아는데 논리적인 척하는 감정충에 민폐충 으 "
37488,"
이런거 아니면 뭐 왁싱도구 그런거 있음?  - dc official App "
37487,"
집에 있으니까 공부가 하나도 안돼서 스카 다녀볼라는데 급식이들 막 시끄럽고 그러진 않음?  "
37485,"
태연 원래 isfj나왔을때도 isfp인데 잘못나온거 아니냐는 말 많았을정도였음그냥 봐도 isf 감성임태연이 우울증 심해지고그 뒤로 infj로 나오대김윤아 infj추정되고김이나가 약식검사로 infj임김윤아 김이나는 확실히 n유형맞음infj인게 하나도 어색하지 않음근데 태연이는 직관을 사용하긴하지만김이나 김윤아와는 너무 다름아무리 개인차있다해도 다름태연이는 외모나 스타일이 갑작스럽게 바껴서 nf스럽게 보이는거지태연이 sf유형맞음아마 태연이 스타일리스트중에 n유형이 있는 것 같음n스럽게 입히는거지 "
37484,"
아무리 우리 학교가 수시 위주의 학교여도아직 정시가 끝나지도 않았는데 소리지르고 떠들고 심지어 선생까지 합세해서 좆목 노가리까고앉아있음. 정시러들이 조용히 해달라 하면 이상한 시선 보내고그 덕분에 수시끝난애들은 시원한 교실에서 놀고있고정시공부하는 애들은 더운 복도에서 삽질중 왜 등교해서 민폐짓인지이것도 서울시교육청 민원 전화하면 효과 있을려나? "
37483,"
고민하는 시간이 아까워서 그냥 깊게 생각안하고 바로 고르는 편인데 그래서 쇼핑같은거하면  좀 맘에든다싶으면 더 둘러보지도않고 최저가도 굳이 고집하지않고 쿠폰질도 잘 안함.  "
37482,"
1.실수를 고치려고 노력한다 2.그냥 싸그리 갈아엎고 처음부터 다시 시작한다너희는뭐임? 난 2 "
37481,"
대학생때는 항상 ISTP 나왔었고학교 졸업하고 사회생활 하면서는 ISFP가 나오는데 뭐가 진짜일까?무엇이 가면일까?공감, 위로 잘 못하고 손재주는 없고 운동 잘 못함 "
37480,"
본인 군인시절 고백받고 사귐 딱히 걜 특별히 좋아한다거나 그런건 아닌데 당시에 군인이라 뭔가 외롭기도 했고 그래서 사귐 휴가 나가서 고백 받고 사귀고 다다음날 데이트 했는데 이년 마인드가 김치+핑프+찡찡거림+떼쓰기 가 느껴져서 밥 먹고 너랑은 못사귀겠다 하고 헤어짐 그리고 휴가기간 내내 롤 조지다가 복귀함  - dc official App "
37479,"
운전하면서 혼잣말늘고 화 표출 잘하게됨 매우 긍정적인 변화라고 생각 ㅎㅎ;; "
37476,"
아침에 일어나서 대충 아이패드로 수업들을려고 사이트 접속했는데 접속이 무슨 10분걸려서 그떄부터 개빡쳤는데 기달리고 들어가보니까 데스크탑버전이 아니라그런지 수업 듣는 버튼이 없어서 컴퓨터로 접속하려고 컴퓨터를 켰는데 업데이트한다고 해서 쌤한테 조금 늦을것같다 연락하려고 폰을 보니까 어제 물흘려서고장나있음  "
37475,"
나만 그런가 "
37474,"
이번엔 좆빠지게 노력했더니 사실 니 안 좋아한다고 차이고  하나같이 지들이 먼저 나 좋다더니 태세변환이 우디르급이노 싸커킥 존나 마렵게  다신 안 함   "
37473,"
몸에 에너지가 많이 없는 거 같은데 에너지가 없어서 잇팁인가? 잇팁이라 에너지가 없는 건가? 근데 이게 뭔 개소리지?  "
37470,"
 - dc official App "
37469,"
근데 근처에 잇프피남이 없네 "
37468,"
인생이 자가격리여서 2주 격리 쉬울줄 알았는데 진짜 못나갔더니 정신이 아득해진다  "
37467,"
스캘핑 단타스윙장투 난 스윙.. 장투 못하겠음 "
37466,"
ㅇㅇ  "
37464,"
신기하단 말이지 ㅋㅋ친구로서는 개좋은데연애하고싶진 않음남자는 F지 아;;근데 왜 T가 더 많냐고 ㅅㅂ "
