number,content
36229,"
.... 혼자 입닥치고  쉬거나, 병원가서 약타먹고 끝내는 입장에서 대체왜.. 아시발   - dc official App "
36228,"
뒤질때까지 먹고 살 돈 걱정 없는 티타늄 수저면 ㅇㅈ ㅋㅋ 나도 승깔대로 햇으면 일단 상사 묶어놓고 대가리 털부터 청테이프로 왁싱해줫을듯좆같아도 먹고 살려면 제어하고 기본적인 선은 탑재해야되는데지 성격 드럽다고 난 원래 개떡같이 태어났는데? ㅇㅈㄹ하면서 좃대로 사는애들은 그냥 걔가 병신인건데 ㅋㅋ 그러니깐 주위에 사람도 없고 난 혼자 편해.. 이 지랄 ㅋㅋ 편한게 아니고 어차피 어울리고 싶어도 사회성 없어서 못하는거면서 씹프피들도 자기들끼리 똘똘 뭉쳐서 걔네도 친구는 잇던데   이런 ㅅㅂ롬들은 안하는거랑 못하는거랑 일부러 구분안함 자기가 병신인거 ㅇㅈ하기 싫으니깐 짐승들도 말 잘듣는 애들은 가르치면 제어가 되더라 "
36227,"
ISTP인거 상관없다가 요즘 싫어지는것같음 ISTJ 였으면 좋겠다 "
36226,"
ㅇㅇ?- dc official App "
36225,"
악플러고소영상봤는데 굳이굳이 찾아가서 얼굴보고 하지도 못할 말 하는 놈들보면 왜저러나 싶음 "
36224,"
할말이없음 90%귀찮음 8%적당한 말이 생각안남 2% "
36223,"
어 "
36222,"
뭔가 공감능력이 결여되있는거같음 뭐 얘기하면 그게그렇게 신경쓸일인가? 이러고 뭐 해보자하면 굳이? 이러고 지필요할때만 연락받고 보통다이럼??- dc official App "
36221,"
잇팁도 아님 그냥 씹프피 처맞는게 좋아 "
36220,"
마지막 고양이 존나 반려묘인것 같은데사진보다 훨이쁜데강아지도 주인있는것 같은데유기인가;; "
36219,"
내표정이잖아 ㅆㅂ- dc official App "
36218,"
짝남한테 답장 1시간에 한 번 보내는 중 "
36217,"
나 드라마나 영화 보다가 좋은거 가끔 들리면 찾아들어  막 미드 오프닝음악같은것도ㅋㅋ  "
36216,"
너네 왜 카톡 답장은 오지게 느리면서 여기 댓글은 엄청 열심히 잘 달아?ㅋㅋㅋ 웃겨서  "
36215,"
달긴하다 "
36214,"
느려지긴 했지만 아직 엄청 녹슬진 않은듯 "
36212,"
주로 영화보는 장르가 어떻게됨? "
설문,
36210,"
오늘 뜨밤 보내겠지?씨발 나만 혼자야  "
36209,"
사랑은 잔인한 모래성 듣는중겨울이불 이제 빨아서 넣으려고ㄹㅇㅋㅋ "
36208,"
그렇다고 머가리 꽃밭처럼 무조건 긍정적이고 뜬구름잡고 이런게 좋다는건 아닌데존나 부정적이고 축 처져있는거보단 차라리 나음 본인 현실이 마음에 안들면 어떻게든 고칠 생각을 하던가아님 현실에 적응해서 자존감 갖고 살던가 그러면 좋겠는데 막 자기 직업이나 특성을 본인 입으로 ㅈㄴ후려치면서 쿨한척하고 자존감 없이 축 처져있고 근데 고칠 생각은 안하고, 이런거 너무 답답함..씹프피,인팁,인프제가 주로 저 지랄이라 제일 짜증남. 개답답해 "
36207,"
성욕? 어디갈때 심심해서?아님 그냥 좋다고하는데 굳이 거부할 필요는 없어서?잇팁들이 무심하다해도 은근 연애는 많이 하더라  "
36206,"
여름엔 수박이지 ㄹㅇㅋㅋ 달달허구만 낼은 수박주스 사먹어봐야겠음 "
36205,"
몇시간에 한번씩하나요 "
36204,"
내가속마음에나는너한테맞추고싶어서물어보는거야라는걸깔고있어서그런지ㅇㅇ...말꺼낼때마다부끄럽더라;;;;;;;;;;;;;친구한텐또안그럼 "
36203,"
엣티제입갤진짜 잇팁새끼랑 맨날 카톡하는데 존나 웃겨서 쓰러질 것 같음 "
36202,"
느그는 남한테 폐끼쳐서 문제야  "
36201,"
왜깜?  "
36200,"
보통 Stj라는데나는 nfp만 존ㄴㄴㄴㄴ나 많음콜렉터인줄 "
36199,"
처음속하는 그룹에서내 일 아니면 전혀 관심없다보니까 그모습에 사람들이 신기해서 다가오기도하는데일회성 관심 귀찮아서 계속 밀어내다보면 주변에 아무도 없어지면서정작 사람들이 나를 투명인간 취급하기 시작하면그제서야 지금 뭐가 이상하게 돌아가고있나 싶어서위기의식 발동함 ㅋㅋㅋ "
36196,"
난사실뭔지모르겟음...근데행복해지게해주고싶은사람이생김........무슨모순인가싶네 "
36195,"
연애할때 막 모든걸 다바치시는분들잇음? "
36193,"
난 요즘 제빵학원 다니는데 잇붕이들은 뭐하는지 궁금해서 "
36192,"
ISTP 여자가 1대1로 밥 술약속 잡고 지 방도 초대해주고 그러는데 가능성좀있는거냐 "
36191,"
이거 걍 손절당한거라 생각하면되냐?ㅆㅂ... "
36190,"
대학은 가기 싫지만 "
36189,"
약간 관심있는여자애가 ISTP라 들어와봤는데 여기서 말하는 씹프피가 혹시 IFNP인가여? "
36187,"
나는 오, 그래?, ㅋㅋㅋㅋㅋㅋㅋ, 개이득이네 이렇게 씀 "
36186,"
5년정도 "
36185,"
 - dc official App "
36184,"
서로 누군지 훑어보다가 끝난듯걔도 내 친구한테 나 어떤지 물어봤다더라씨발 내가 걍 고백 박아볼껄 "
36182,"
남 항상 비웃는 새끼타인의 가치관,생각 코웃음치는새끼. 거짓말이 일상적.다름과 틀림의차이 모름. 꼰대.자기가 가장 우월하다고 생각하는 새끼. 리더자리좋아하는새끼.(조교협의회회장)이런새끼 내학교 취업및 진로상담가였는데 계속 내 가치관, 내 생각, 내스펙 비웃고 이러길래(정작 본인은 1년계약직. 무기계약)말싸움하고 싸웠다. 나보고 예의있게 생각을하고 말하래 ㅋ지가 코웃음치고  비웃는 좆같은 태도있는건 모르고.내로남불 ㅅㅂ. 평소에 말은 그렇게 ㅈ같이하진 않아도풉하면서 비웃는태도가있는데자기가 그런태도가 있다는걸 인지를 못하는듯.국민신문고에 쳐넣으려다가 그냥인사팀장한테 소리 빽빽지르고 교육똑바로시키라고말하고 말았는데.이런놈들 대처법있음? "
36181,"
그럴때마다 나도 참 대단한 새끼다 싶음 "
36180,"
공짜 코미디임Enxp 인척 할때 음침함 숨기고 뇌가꽃밭이 골든리트리버인척 하는모습 보는거나 ixtp인척할때 참피내면 감추고 타고난 염세주의자인척하는거 개웃김ㅋㅋㅋ "
36179,"
차이가 있네 "
36178,"
원래성격이좀상황을양면으로보는부분이있는데불안한일생기면N으로무한히넘겨짚으면서이제난안될거야라고하면서비관하다가S써서다시현실적으로보는걸반복함혼자서지치는경우가많고내면에우울이많음.. "
36177,"
허구한날 찡찡에 좆노잼이면서 대놓고 관심달라 어그로 끌고얘들이 지가 모르는 주제로 대화하면 난 이거 몰라 잉잉 하면서 말 짤라먹고 분위기 곱창내고존나 사소한거로 잘 삐지고 삐지면 뒷담까고자기 모에화하고 대가리 꽃밭이고 저쪽으로 가자 하니까 일어나기 귀차나 ㅇㅈㄹ하는 정신연령 5세 씹프피 있는데(검사 결과 씹프피로 나왔었음)친구가 그새끼보고 잇프제 같다 하니까 잇프제 빙고랑 지랑 잘 맞다고 잇프제라고 하고다님 이새끼 슬리퍼 날아갔을 때 어떤 얘가 슬리퍼 날아갔다고 하니까 날아간거 아니양 파업한거양 ㅇㅈㄹ하는데 어케 S임 ㅆㅂ검사도 안해봤으면서 S행세 하는거 개빡침으딜 씹프피가 잇프제 행세를 하노 "
36176,"
너네 왜 너네한테 쿨찐밈이 붙은거같냐내가보기엔 불건강? Enfp가 제일 쿨찐같던데 특히 남자이새끼들 쿨한척 좆돼던데 어떻게생각함? "
36174,"
이젠 말 안걸어준다..ㅠㅠ "
36173,"
씨발 ㅋㅋ "
